Complexity,Loss,Equation
1,2.016617e6,"1589.8544"
3,1.9642196e6,"1624.359 - phi"
4,171842.42,"square(68.670555 - phi)"
6,156913.12,"square(68.670555 - phi) - C"
7,53494.094,"square(sqrt(C) + (phi - 75.39338))"
9,30452.193,"square(((35693.297 - square(C)) / 471.70862) - phi)"
10,4497.615,"square((C * 0.1803437) + (phi - 76.722145)) - -56.73871"
12,3015.8848,"square(((((C * 25.57828) - 11055.072) / 138.2069) + phi) * 0.9556991)"
14,2982.9355,"square((((C * 25.491034) - 11061.201) / 144.69359) + (phi * 0.9510998)) + -13.970317"
15,2498.8926,"square(phi - ((11039.098 - (sqrt(C) * (C + 177.22711))) / 133.78476)) * 0.9137461"
17,2467.9666,"(square(phi - ((11039.782 - ((C + 176.35947) * sqrt(C))) / 133.08588)) * 0.9050123) - 14.403021"
19,2311.773,"square(4.4677606 - ((phi + (((sqrt(C) * 93.13289) - (11037.831 - (C * 18.821968))) / 143.48846)) * 0.95545316))"
21,2308.1577,"square(4.4677606 - (((((93.13289 * sqrt(C)) - (11037.831 - (C * 18.821968))) / 143.48846) + phi) * 0.95545316)) - xi"
22,2240.0996,"square((((149.89465 / sqrt(sqrt(exp(phi)))) - (11111.582 - (sqrt(C) * (C + 178.04288)))) / 135.6372) + phi) * 0.93674093"
23,2165.418,"square(phi + (sqrt(sqrt(sqrt(3.4973462 / exp(phi)))) - ((11039.887 - ((C + 175.71228) * sqrt(C))) / 135.2298))) * 0.9467608"
24,2165.3748,"square(phi + ((((C + Sb) / sqrt(sqrt(exp(phi)))) - (11039.136 - (sqrt(C) * (C + 176.52296)))) / 134.61752)) * 0.9330339"
25,2129.8308,"square(((11039.983 - (sqrt(C) * (C + 175.24997))) / 135.26714) - (phi + sqrt(sqrt(exp(0.77241606) / exp(phi / 2.4432406))))) * 0.95193243"
