Complexity,Loss,Equation
1,695826.44,"639.83075"
3,667819.5,"674.3154 - phi"
4,73143.15,"square(51.475388 - phi)"
6,61637.387,"square(phi + -52.07476) - C"
7,30339.695,"square(58.164547 - (phi + sqrt(C)))"
8,20307.826,"square((phi - 58.611137) - (C * -0.14718783))"
10,14121.996,"square((C * -0.14913648) - (phi - 59.914013)) + -103.19172"
12,14063.058,"square(-59.611237 - ((C * -0.15037051) - (phi * 0.98520267))) - Sb"
14,12338.1,"square((C * -0.15747151) - (phi + (-58.533516 - square(square(phi / 36.7708)))))"
15,10468.587,"square(((phi + -58.74783) - square(square(square(phi / -47.293076)))) - (C * -0.1601969))"
16,7941.436,"square((C * -0.14244351) - ((-52.173775 - square(square(phi * -0.03391591))) + phi)) / 0.7337916"
18,2400.7095,"square((-63.927254 - ((phi * 0.0053504664) * (phi + (C + -91.76516)))) + (phi - (C * -0.23206282)))"
20,1985.9478,"square(((phi - (C * -0.22574872)) + -63.92735) - (((phi + C) + -91.76515) * (phi * 0.005009972))) - 28.834839"
22,1981.7755,"(square((((C + phi) + -91.76873) * (phi * 0.0050075394)) - ((phi - (C * -0.22571032)) + -63.92543)) - 26.01516) - xi"
23,1932.5515,"square(((-64.216606 - ((phi * 0.005323219) * ((phi + C) + -91.96985))) + phi) - (C * -0.22981232)) - square(xi + xi)"
