Complexity,Loss,Equation
1,0.008876282,"0.061522927"
3,0.004862157,"0.19157974 / rb"
5,0.0017681943,"(phi / rb) / 178.23555"
7,0.0011682968,"((phi * 0.0050834604) / rb) + 0.02638193"
8,0.0007873661,"(sqrt(C) + (phi / rb)) / 202.81026"
9,0.00061767135,"(C * 0.00062049704) + ((phi / rb) / 199.91231)"
11,0.00046985954,"((C * 0.101332754) + ((phi + -11.097925) / rb)) / 150.98947"
13,0.00044522822,"((((phi - 6.3117104) / rb) + (C * 0.13468224)) - xi) / 166.0703"
14,0.0004441388,"((((phi - 6.3117104) / rb) + (C * 0.13468224)) - sqrt(xi)) / 166.0703"
15,0.00042006065,"((C * 0.15208887) + ((((phi - xi) - 4.985576) / rb) - 3.0641816)) / 164.17722"
16,0.00039610238,"(((C * 0.14951082) - log(rb)) + ((phi - (xi * 3.5375175)) / rb)) / 166.0959"
21,0.00039524483,"(((phi - (xi / 0.29429176)) / rb) + ((C * 0.12879622) - log(sqrt(sqrt(square(phi * -0.8929274)))))) / 159.5306"
