Complexity,Loss,Equation
1,0.013678816,"0.21873294"
3,0.013417204,"C * 0.0038033754"
4,0.010446615,"sqrt(0.25778186 / rb)"
5,0.007834336,"0.38168374 / sqrt(sqrt(rb))"
6,0.0073162904,"sqrt((0.15108682 / rb) + 0.024373928)"
7,0.005146369,"((phi * 0.0053484235) / rb) + 0.18176037"
8,0.004276216,"sqrt((phi * (0.0049949586 / rb)) + 0.022741077)"
10,0.004252392,"sqrt(((phi + -2.037562) * (0.00499799 / rb)) + 0.022693219)"
11,0.003652554,"sqrt(sqrt(phi / (rb / (C * 0.14513668))) / Sb)"
13,0.0008178663,"(phi * 0.025208557) * sqrt((C / square(phi)) + (0.1425524 / rb))"
15,0.00063501217,"((phi * 0.030700203) * sqrt((0.11276071 / rb) + (C / square(phi)))) + -0.041986115"
16,0.0005818067,"phi * ((sqrt((0.14345439 / rb) + ((C / phi) / phi)) + -0.02813057) * 0.027963717)"
18,0.00058121944,"((sqrt((((C + -0.026192252) / phi) / phi) + (0.14347355 / rb)) + -0.028107576) * 0.02796416) * phi"
19,0.0005495726,"phi * (sqrt((((C + square(C / 7.050835)) / phi) / phi) + (0.3506485 / rb)) * 0.016316492)"
21,0.0005417398,"(0.02852916 * (phi * sqrt(((C / phi) / phi) + (((C / C) / sqrt(phi)) / rb)))) + -0.03615729"
22,0.00047176727,"0.026600158 * (phi * (sqrt((0.14903602 / rb) + (((C + (C / (0.59707123 + rb))) / phi) / phi)) + -0.025364224))"
