Complexity,Loss,Equation
1,0.012883877,"0.21870004"
3,0.012882001,"Sb * 0.002423645"
4,0.010147369,"0.51333374 / sqrt(rb)"
5,0.009057385,"sqrt(0.19978678 / sqrt(rb))"
6,0.0075036604,"sqrt(sqrt(0.019459123) / sqrt(rb))"
7,0.007481049,"sqrt((0.19116731 / sqrt(rb)) / 1.3142914)"
9,0.007481048,"((Sb / Sb) * 0.38135383) / sqrt(sqrt(rb))"
11,0.004726033,"sqrt(sqrt(((-0.20823593 / (Sb / C)) * -0.22629327) / rb))"
13,0.0046489756,"sqrt(sqrt((0.0076185586 / ((2.105626 / C) / 0.08157037)) / (rb * 0.56059265)))"
16,0.0046446724,"sqrt(sqrt(-0.26656035 / (0.33572105 - ((Sb + Sb) / C))) / sqrt(rb)) / 1.3319858"
17,0.0037353265,"-0.072737925 + (sqrt(-0.2727569 / (-0.6661878 - ((Sb / sqrt(phi)) / C))) / sqrt(sqrt(rb)))"
19,0.0032912025,"sqrt((-0.2218971 / (-0.27700806 - ((Sb - (phi / 1.1924859)) / C))) / sqrt((rb - 0.19097099) + 0.0061484193))"
26,0.002601158,"square(sqrt((0.09644094 / (sqrt((sqrt(sqrt(Sb)) * ((rb + -0.07867159) + (C / (phi / 1.3166903)))) / (C - -0.8586533)) + -0.17400697)) - -0.069556594))"
27,0.0014237597,"(((C / Sb) * (Sb * 0.0010964664)) + ((Sb * 0.0031497702) * (((phi * ((C / rb) / (C * 1.0797751))) / Sb) + 0.14834605))) * 1.8767651"
