Complexity,Loss,Equation
1,0.012883876,"0.21870361"
3,0.012712397,"C * 0.0037942678"
4,0.009839385,"sqrt(C) * 0.03187622"
5,0.007481048,"0.38135192 / sqrt(sqrt(rb))"
6,0.0070491317,"sqrt((0.15134828 / rb) - -0.024662865)"
7,0.0046489756,"sqrt(sqrt(C / rb)) * 0.15147586"
8,0.0041221865,"sqrt((phi / rb) + 4.496539) * 0.07102025"
9,0.0019416205,"0.0662363 * sqrt((phi / rb) + sqrt(C))"
10,0.00095437595,"0.024176816 * sqrt(C + ((phi / rb) / 0.12918672))"
11,0.0008180657,"0.024176816 * sqrt(C + (phi / (rb / sqrt(phi))))"
12,0.0006259369,"-0.04958215 + (sqrt(C + ((phi / rb) / 0.1622946)) * 0.030678658)"
14,0.00060469285,"square(sqrt(sqrt(((phi / rb) / 0.17276376) + C)) * -0.17790039) + -0.058560114"
16,0.00048547468,"square((sqrt(sqrt(C + ((phi / (0.21370487 + rb)) / 0.14895365))) * 0.21370487) + -0.16976061)"
18,0.0004530199,"square(sqrt(sqrt(C + ((phi / ((8.262462 / phi) + rb)) / 0.14137582))) * -0.18149666) + -0.07521295"
19,0.0004478385,"square((sqrt(sqrt(C + ((phi / (rb + sqrt(3.1733544 / phi))) / 0.14895365))) * 0.21370487) + -0.16976061)"
20,0.00041286048,"square((sqrt(sqrt(C + ((phi / (((3.1733544 / phi) * 3.1733544) + rb)) / 0.14895365))) * 0.21370487) + -0.16976061)"
22,0.0004110507,"square((sqrt(sqrt(C + ((phi / (((3.1733544 / (phi - -0.8022903)) * 3.1733544) + rb)) / 0.14895365))) * 0.21370487) + -0.16976061)"
28,0.00040679917,"2.858983 * square((sqrt(sqrt(((phi / (rb + ((sqrt(1.0321037 / sqrt(C)) / (0.14155349 / xi)) / phi))) / 0.14204493) + C)) * 0.120649874) + -0.08561024)"
30,0.00040435095,"square((sqrt(sqrt(C + ((phi / (rb + ((sqrt(1.0321037 / sqrt(C - -1.2944582)) / (0.14155349 / xi)) / phi))) / 0.14204493))) * 0.120649874) + -0.08561024) * 2.858983"
31,0.00038914706,"square((sqrt(sqrt(((phi / (rb + ((sqrt((rb + sqrt(rb)) / sqrt(C - -1.03795)) / 0.04953712) / phi))) / 0.14197086) + C)) * 0.12136743) + -0.08534273) * 2.8589995"
32,0.00038846568,"square((sqrt(sqrt(C + ((phi / (((sqrt(sqrt((rb + (rb + rb)) / (1.6899735 + C))) / 0.04953445) / phi) + rb)) / 0.14198987))) * 0.12116942) + -0.08540939) * 2.858997"
34,0.00038807828,"square((sqrt(sqrt(C + ((phi / (((sqrt(sqrt(((rb + rb) + rb) / (xi + (C - -0.9577028)))) / 0.04953445) / phi) + rb)) / 0.14198987))) * 0.12116942) + -0.08540939) * 2.858997"
