Complexity,Loss,Equation
1,2.016617e6,"1589.8544"
3,1.9642196e6,"1624.3483 - phi"
4,171842.42,"square(phi - 68.670555)"
6,155043.84,"square(phi - 69.2149) - C"
7,53494.098,"square(phi + (sqrt(C) - 75.393))"
8,17301.44,"square(phi + (square(log(C)) - 82.1571))"
10,8586.916,"square(((sqrt(C) + sqrt(C)) - 81.73689) + phi)"
12,5899.866,"square(((sqrt(C) - 80.90491) + sqrt(C)) + (phi * 0.95264983))"
13,4529.752,"((phi * -0.3445709) - -23.959375) * ((phi * -2.5884268) + (241.17914 - C))"
15,4496.642,"((phi * -0.34466425) - -23.964231) * ((phi * -2.5877585) + ((243.83978 - C) - xi))"
16,2928.3542,"((258.19418 - (phi * 2.7692049)) - C) * (((log(C) + phi) * -0.32176867) - -23.11437)"
18,2257.2065,"(((phi + (sqrt(C) + xi)) * -0.2785015) - -21.118195) * ((296.27878 - (phi * 3.189614)) - C)"
20,2244.9136,"(((sqrt(C) + (phi + xi)) * -0.27801043) - -21.109455) * (((298.8659 - (phi * 3.1937857)) - C) - xi)"
22,2242.774,"(((sqrt(C) + (phi + xi)) * -0.27853164) - -21.121824) * ((((298.78827 - (phi * 3.1894364)) - C) - xi) - -0.1477926)"
23,2219.2224,"((((308.86807 - (phi * 3.188441)) - C) - square(1.313699 * xi)) * (((phi + sqrt(C)) * -0.27890074) - -20.363562)) + -0.035096753"
24,1976.5092,"((((sqrt(C) + phi) * -0.27184263) - -20.299204) * (((293.3966 - (phi * 2.8908608)) - C) - ((phi * phi) * 0.009784909))) + 12.541576"
26,1944.111,"((((sqrt(C) + phi) * -0.27302593) - -20.390415) * ((((294.71326 - (phi * 2.8689494)) - C) - xi) - ((phi * 0.010029836) * phi))) + 15.192758"
28,1943.729,"(15.192758 + ((((sqrt(C) + phi) * -0.27302593) - -20.390415) * ((((294.71326 - (phi * 2.8689494)) - C) - xi) - ((phi * 0.010029836) * phi)))) - -0.5525876"
29,1751.4535,"((((sqrt(C) + phi) * -0.2697615) - -19.526861) * ((((307.70038 - (phi * 2.9170141)) - C) - xi) - ((phi * (sqrt(C) * phi)) * 0.0013449712))) + xi"
30,1734.9146,"((((sqrt(C) + phi) * -0.2697615) - -19.526861) * ((((307.70038 - (phi * 2.9170141)) - C) - xi) - ((phi * (sqrt(C) * phi)) * 0.0013449712))) + sqrt(phi)"
32,1672.3013,"(((((phi + sqrt(C)) * -0.27400193) - -19.503056) * (((306.7343 - (phi * 2.850673)) - C) - (xi - (phi * (sqrt(C) * (phi * -0.0015164722)))))) + log(phi)) - -21.79894"
33,1653.4513,"((((phi + sqrt(C)) * -0.27486852) - -19.652481) * ((((3.999547 - phi) * sqrt(C * 0.16411191)) * (phi * 0.0039043967)) + (((304.62317 - (phi * 2.8509445)) - C) - xi))) - -22.791054"
35,1585.936,"((((295.70386 - (phi * 2.8158784)) - C) + (((phi * sqrt(C * 0.10487214)) * 0.0056074345) * (((C * 0.21055631) - phi) - xi))) * (((phi + sqrt(C)) * -0.27864316) - -20.071619)) - -22.66169"
