Complexity,Loss,Equation
1,2.016617e6,"1589.8544"
3,1.9642196e6,"1624.3572 - phi"
4,171842.42,"square(phi + -68.670555)"
6,155043.84,"square(phi + -69.21485) - C"
7,53494.098,"square((phi + -75.39332) + sqrt(C))"
8,5360.404,"square((C / 5.5938344) + (phi + -77.268814))"
10,3007.602,"square((phi + -79.95594) + (C / 5.401149)) / 1.0949081"
12,2982.71,"square((((C / 5.3959746) + -80.376595) + phi) / 1.0512524) + -14.1727495"
13,2793.573,"square(sqrt(phi) - (((C / 6.06362) + (phi + -69.44264)) / 0.92940503))"
14,2789.4875,"(C + -84.39061) + square((((C / 5.065113) + -81.65451) + phi) / 1.060394)"
15,2568.5544,"square((((phi + -69.68713) + (C / 5.984567)) / 0.94344395) - sqrt(phi - -3.7647033))"
