Complexity,Loss,Equation
1,695826.44,"639.8713"
3,667819.5,"674.3154 - phi"
4,73143.15,"square(phi + -51.474773)"
6,61637.383,"square(52.075413 - phi) - C"
7,30339.695,"square(sqrt(C) - (58.165276 - phi))"
8,20307.824,"square(((C * -0.14718546) - phi) + 58.61121)"
10,14121.99,"square(((C * -0.14911042) - phi) + 59.91349) - 103.193306"
11,5303.692,"square(square(((83.83259 - phi) * 0.095100135) + (C * -0.013628991)))"
13,4864.562,"square(square((-0.0131142065 * C) + ((88.96216 - phi) * 0.09127735)) - xi)"
15,4132.917,"square(square((C * -0.014571918) + ((87.19725 - phi) * 0.09198697))) + (C - 83.76166)"
