Complexity,Loss,Equation
1,0.013678816,"0.2187402"
3,0.013417204,"C * 0.0038033754"
4,0.010446615,"0.5077224 / sqrt(rb)"
5,0.007834336,"sqrt(0.14570172 / sqrt(rb))"
6,0.0072680106,"(0.32074773 / sqrt(rb)) - -0.10052564"
7,0.0048741014,"sqrt(sqrt(C / rb)) * 0.15189981"
8,0.0036918411,"(0.3178177 / sqrt(rb)) - (C * -0.002044483)"
9,0.0020366174,"sqrt(((phi / rb) + sqrt(C)) / 228.1112)"
10,0.0010181961,"sqrt((7.695083 / (rb / phi)) + C) * 0.024227852"
11,0.0007616772,"sqrt(C + (phi / (rb / sqrt(phi)))) * 0.02516273"
12,0.00066284253,"(sqrt(((phi / rb) / 0.17693533) + C) * 0.03183667) + -0.059000712"
13,0.0005417398,"(sqrt(C + (sqrt(phi) / (rb / phi))) + -1.2675889) * 0.028529627"
15,0.0004829706,"(sqrt(C + (sqrt(phi) / ((rb + 0.0931169) / phi))) * 0.030750757) + -0.053282354"
