Complexity,Loss,Equation
1,0.013678816,"0.218733"
3,0.013417204,"C * 0.0038033754"
4,0.010446615,"0.5077199 / sqrt(rb)"
5,0.007834335,"0.3816897 / sqrt(sqrt(rb))"
6,0.0072680106,"(0.320721 / sqrt(rb)) + 0.100535795"
7,0.004643408,"((phi / rb) + C) * 0.0036100973"
8,0.0036918411,"(C * 0.0020444852) + (0.3178178 / sqrt(rb))"
9,0.0020366174,"sqrt(sqrt(C) + (phi / rb)) * 0.06621063"
10,0.00091047934,"((C * 0.035417095) + sqrt(phi / rb)) * 0.057527445"
11,0.00064861466,"sqrt(square(C * 0.04136389) + (phi / rb)) * 0.06947478"
12,0.0006396056,"sqrt((square(phi) / rb) + square(C * 0.30402806)) * 0.009849556"
13,0.00063046714,"sqrt((phi / (rb + 0.043841302)) + square(C * 0.039734848)) * 0.07164992"
14,0.0005526428,"sqrt(square(C * 0.3060312) + ((Sb + square(phi)) / rb)) * 0.009688927"
15,0.00054284034,"sqrt(square(C * 0.038430296) + (phi / (rb + (3.402796 / phi)))) * 0.0735622"
16,0.00046155715,"sqrt(((C + (square(phi) * 0.16760963)) / rb) + square(0.12582168 * C)) * 0.022643514"
18,0.0004269582,"sqrt(((C + (square(-4.903868 - phi) * 0.13630538)) / rb) + square(C * 0.12283052)) * 0.023163285"
