Complexity,Loss,Equation
1,0.013678816,"0.21873303"
3,0.013417204,"C * 0.0038033754"
4,0.010446615,"0.50772 / sqrt(rb)"
5,0.007834336,"0.38168162 / sqrt(sqrt(rb))"
6,0.00726801,"(0.32074612 / sqrt(rb)) + 0.10052519"
7,0.0046434086,"((phi / rb) + C) * 0.0036101274"
8,0.0036918411,"(0.317818 / sqrt(rb)) + (C * 0.002044482)"
9,0.0020366174,"sqrt((phi / rb) + sqrt(C)) * 0.066210635"
10,0.0009104793,"((C * 0.035417765) + sqrt(phi / rb)) * 0.057526875"
11,0.00076167716,"sqrt(C + (sqrt(phi) * (phi / rb))) * 0.025162725"
12,0.00066283834,"(sqrt(((phi * 5.660796) / rb) + C) * 0.03181882) + -0.05894193"
13,0.0005010214,"((C * 0.002075754) + ((phi * 0.0126482) / (rb - -0.5848961))) - -0.05306078"
15,0.00039918252,"((0.00059195556 - (phi * (-0.00013945113 / (rb - -0.57874894)))) * Sb) + (C * 0.0020765585)"
17,0.00039872623,"(Sb * ((((-0.60230726 - phi) * -0.00013851769) / (rb - -0.5844518)) - -0.00058595696)) + (C * 0.0020764063)"
18,0.00039674607,"(sqrt(Sb) * -0.0032921017) * (1.6102823 - sqrt((sqrt(phi / 1.4784894) * (phi / rb)) + C))"
19,0.00039495234,"((((-0.00013848979 / (rb - -0.61739755)) * ((-0.7908983 / rb) - phi)) - -0.0005871437) * Sb) + (C * 0.0020772996)"
20,0.00031276114,"-0.0035217502 * (sqrt(Sb - rb) * (1.3801492 - sqrt((sqrt(phi / 2.0396142) * (phi / rb)) + C)))"
22,0.00030616767,"(1.7694932 - sqrt(C + (phi * (sqrt(rb + (phi / 2.2297976)) / rb)))) * (-0.0036363886 * sqrt(Sb - rb))"
23,0.00029535638,"(sqrt((Sb - rb) - sqrt(phi)) * -0.0036610547) * (1.4044223 - sqrt(C + (phi * (sqrt(phi / 1.9780003) / rb))))"
24,0.00029326012,"((1.5651649 - sqrt(C + ((sqrt(phi / (1.7440062 - (-0.22563894 / rb))) * phi) / rb))) * sqrt(Sb - rb)) * -0.0035845786"
25,0.00028665233,"(sqrt((Sb - rb) - sqrt(phi)) * (1.3490499 - sqrt(C + (sqrt(phi / 1.7831597) * ((phi + -2.3822613) / rb))))) * -0.0036445712"
