Complexity,Loss,Equation
1,2.016617e6,"1589.6923"
3,1.9642196e6,"1624.3549 - phi"
4,171842.42,"square(phi + -68.67054)"
6,155043.84,"square(phi + -69.21483) - C"
7,53494.094,"square(sqrt(C) + (phi + -75.39338))"
8,5360.4106,"square((phi + -77.2701) - (C * -0.17877245))"
10,3007.603,"square(((phi + -79.95675) - (C / -5.401698)) / 1.0464154)"
12,2879.4265,"square(((C / -5.6492357) - ((phi + -82.78262) / 1.0463318)) - xi)"
13,2584.461,"square((C / -5.645481) - ((phi + -75.78014) - (sqrt(phi) / xi)))"
15,2499.6895,"square(((xi / exp(phi / 22.3343)) + (-78.635704 + phi)) - (C / -5.6457696))"
16,2262.5322,"square((((phi - (C / -7.554176)) / 1.0469168) + (-578.6674 / (C + 66.436424))) + -68.56835)"
18,2135.763,"square(((-71.23995 + ((phi - (C / -7.5778003)) / 1.04682)) + (-576.657 / (65.85629 + C))) + xi)"
19,2109.008,"square((C / -5.936671) - (phi + (-75.10232 - ((sqrt(phi) / xi) - (-6.806749 / (xi + C))))))"
20,1966.5942,"square(((C / -6.150435) - ((phi + -74.52617) - (sqrt(phi) / xi))) - (-19.727657 / (C + square(xi))))"
21,1745.9523,"square(phi + ((((xi / exp(phi / 21.81966)) + -71.35567) + (-495.5129 / (C + 60.55936))) - (C / -7.7876368)))"
22,1697.1859,"square((((-343.8498 / (C + 50.122852)) + (2.43525 / exp(phi / exp(xi)))) + (phi + -72.32456)) - (C / -7.441652))"
24,1667.6776,"square(phi + (((-72.70603 - (C / -7.436931)) + (xi / exp(phi / exp(xi - -0.3416986)))) + (-342.75967 / (C + 50.180786))))"
25,1593.3666,"square((C / -6.7320037) - (phi + (((sqrt(sqrt(exp(phi / 7.4962544))) + xi) + (-476.22318 / (C + 55.643158))) + -82.25288))) * 0.7815631"
27,1565.841,"(square((((phi + (-82.10236 - (C / -6.72765))) + xi) + sqrt(sqrt(exp(phi / 7.2893057)))) + (-477.14603 / (C + 55.223263))) * 0.7815197) - -13.880863"
30,1564.5482,"log(phi) + (10.1081915 + (square(xi + (phi + (((-81.907295 - (C / -6.755487)) + sqrt(sqrt(exp(phi / 7.381397)))) + (-477.74893 / (C + 55.300995))))) * 0.7857212))"
