Complexity,Loss,Equation
1,837.51,"49.87987"
3,836.0674,"sigma + 49.816532"
4,725.2426,"sqrt(sigma) * 205.5817"
5,507.81714,"square(log(sigma) + 10.334888)"
6,467.07166,"(sqrt(sigma) - sigma) * 322.85275"
7,415.20932,"sigma * (92.35543 / (sigma - -0.030724049))"
8,354.91312,"(sigma * 16.376759) / (square(sigma) - -0.010850749)"
10,347.49976,"(sigma + (sigma / (square(sigma) - -0.010888494))) * 16.042982"
11,335.69305,"((16.785273 / (square(sigma) - -0.012253059)) * sigma) + log(Vs)"
12,265.92038,"square(log(square(15492.633 / Vp) * ((Vs * sigma) + 0.0077658664)))"
14,236.56693,"square(log(((sigma * Vs) + 0.008874045) * square(40596.63 / Vp))) + -32.296185"
16,206.08946,"square(log((Vs + 0.114284694) * square((sigma / Vp) * -104020.125)) + (sigma * -11.37407))"
18,192.05066,"square(log((Vs + 0.2708087) * square(sigma * (-69710.72 / (Vp - Vs)))) + (sigma * -9.697013))"
20,165.36325,"square(log(square((27.662169 - (-104020.125 / (Vs - Vp))) * sigma) * (Vs + 0.11883915)) + (sigma * -11.459333))"
22,153.87788,"square((sigma * -11.360483) + log(square((65.31717 - (-91008.76 / (Vs + (Vp * -0.7646431)))) * sigma) * (Vs + 0.085167244)))"
24,149.42047,"square((log((Vs + 0.10901037) * square((37.161144 - (-72001.9 / ((-0.82135516 * Vp) + Vs))) * sigma)) + (sigma * -12.747386)) * 1.0762277)"
26,148.00304,"square((log(square(sigma * (34.850418 - (-61441.703 / ((Vp * -0.80200386) + Vs)))) * (Vs + 0.10391272)) + (sigma * -11.939391)) * 1.084205) + 2.94522"
27,146.71725,"square((((exp(sigma) + -11.937941) * sigma) + log(square(((-61441.703 / ((Vp * -0.80507684) + Vs)) - 34.457603) * sigma) * (Vs + 0.09935935))) + 0.72393584)"
29,138.92416,"square(square(sigma * -2.576326) + ((sigma * -15.038505) + (log((Vs + 0.10580783) * square(((-61441.703 / ((Vp * -0.8090349) + Vs)) - 33.94122) * sigma)) / 0.8901036)))"
30,137.82968,"square((log((Vs + 0.09898293) * square(sigma * ((-61441.703 / ((Vp * -0.8102349) + Vs)) - 34.48858))) - -1.2493119) + (sigma * ((sigma * 6.425947) + -14.637866))) + -4.075681"
31,135.89261,"square(((sigma * -14.998929) + (log((Vs + 0.10728835) * square(sigma * ((-61441.703 / ((Vp * -0.80932003) + Vs)) - 33.731678))) + square(sigma * -2.5697472))) / 0.8896947) + 1.6162614"
33,135.34364,"square((log((Vs + 0.17523909) * square(((-61441.703 / (Vs + (Vp * -0.8191526))) - 37.198742) * sigma)) + (sigma * ((sigma * 6.4088693) + -14.640678))) - -1.3118687) + (log(Vs) + -7.1731415)"
35,135.25632,"(square(log(square(sigma * ((-61441.703 / (Vs + ((Vp + 1.9349294) * -0.81960416))) - 37.062355)) * (Vs + 0.19903666)) + ((sigma * ((sigma * 6.465957) + -14.741407)) - -1.3985689)) + log(Vs)) + -8.256755"
