Complexity,Loss,Equation
1,399.9174,"34.486374"
3,399.0786,"sigma + 34.425484"
4,26.12216,"69.26439 - sqrt(Vp)"
6,25.950876,"69.325325 - (sigma + sqrt(Vp))"
7,7.462527,"(sqrt(sqrt(Vs)) * -8.872773) + 67.52987"
9,7.00689,"(sqrt(sqrt(Vs)) * (-8.849587 - sigma)) + 67.61991"
10,5.3777957,"(65.0242 - log(sigma)) - (sqrt(sqrt(Vs)) * 9.087605)"
11,5.2369647,"(62.51843 - log(square(sigma))) - (sqrt(sqrt(Vs)) * 9.302403)"
12,3.8214731,"((sqrt(sqrt(Vs)) * -7.7887487) - sqrt(sigma * Vs)) + 66.871704"
13,3.4776473,"(sqrt(sqrt(Vs)) * (-8.201462 - (sigma / (79.46777 / Vs)))) + 66.57412"
15,3.422976,"(sqrt(sqrt(Vs) + -0.00758026) * (-8.201462 - (sigma / (79.46777 / Vs)))) + 66.55927"
16,3.2467182,"(sqrt(sqrt(Vs)) * (-8.113351 - (sigma / ((65.08634 / Vs) + square(sigma))))) + 66.441734"
17,2.8494153,"(((Vs * -0.00035359495) - sqrt(sqrt(Vs))) * (9.92898 - exp(exp(sigma * -21.46344)))) + 66.97426"
18,2.768119,"((8.973285 - exp((sigma * -27.945698) - -0.615599)) * ((Vs * -0.00038278243) - sqrt(sqrt(Vs)))) + 66.96764"
20,1.8673393,"((((Vs * -0.0011088549) - sqrt(sqrt(Vs))) * (7.3181605 - exp(exp(sigma * -21.370428)))) - log(Vs)) + 63.233982"
22,1.8412358,"(((Vs * -0.0012161523) - sqrt(sqrt(Vs * 1.3268528))) * (6.959255 - exp(exp(sigma * -19.56973)))) + (63.254047 - log(Vs))"
23,1.8086201,"((((Vs * exp(sigma)) * -0.0010995588) - sqrt(sqrt(Vs))) * (7.3021374 - exp(exp(sigma * -20.7256)))) + (63.218967 - log(Vs))"
24,1.7204422,"((6.0332675 - exp(exp(sigma * -17.772465))) * ((Vs * -0.0015499329) - ((sqrt(sqrt(Vs)) - 1.2420456) / 0.7765676))) + (55.92524 - log(Vs))"
28,1.6710032,"(((7.484381 - (exp(exp(sigma * -16.84648)) + (sigma * 2.8899186))) * ((Vs * ((sigma * -0.005151873) + -0.00095885736)) - sqrt(sqrt(Vs)))) - log(Vs)) + 63.074356"
30,1.6627388,"((((((Vs * (sigma + 0.16393094)) * -0.005656597) - sqrt(sqrt(Vs))) * (7.541784 - (exp(exp(sigma * -16.214659)) + (sigma * 3.4409664)))) - log(Vs)) - sigma) + 63.154453"
