experiment_index,C_true,optimizer,run_time_seconds,loss_at_true_x,loss_at_recovered_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat,Vs_hat,sigma_hat,Vp_residual,Vs_residual,sigma_residual,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,cmaes,0.35578454000005877,7.241233230831627,3.313296303986135e-10,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1335.1314325090939,101.41501369832865,0.2967450263484133,-1.793978299247101e-10,1.6839862837514374e-11,-1.1896039708858552e-13,41.0,39.688992905732306,10.0,15.030687717230018,90.0,87.26046197376562,0.5,0.45212875911180517,2.7,2.854087401715796,-1.3110070942676941,1.3110070942676941,5.030687717230018,5.030687717230018,-2.739538026234385,2.739538026234385,-9.574248177638967,9.574248177638967,5.706940804288734,5.706940804288734
1,20.0,cmaes,0.3432197660001748,20.468613731225975,2.6847146727959625e-10,1156.5405464105863,95.6093871411939,0.31364668435163595,1170.983068073116,96.82653026784911,0.30898621166968154,1170.9830680730581,96.82653026789546,0.30898621166983825,-5.7980287238024175e-11,4.6355808080988936e-11,1.5670797992584085e-13,41.0,39.6822216364967,20.0,24.754686263946198,90.0,88.39219611963223,0.5,0.4772527893987195,2.7,2.847907543353362,-1.317778363503301,1.317778363503301,4.754686263946198,4.754686263946198,-1.6078038803677686,1.6078038803677686,-4.5494421202560975,4.5494421202560975,5.478057161235625,5.478057161235625
2,30.0,cmaes,0.3427747570001429,13.92753500669912,3.0882674195709114e-10,1004.729927807081,90.67544056827474,0.33482438743281717,1016.0555400075191,90.70583277676198,0.3319661220836709,1016.055540007425,90.70583277680694,0.33196612208385795,-9.413270163349807e-11,4.496314431889914e-11,1.8707257964933888e-13,41.0,39.81988975869745,30.0,34.73171297871193,90.0,88.2679185701047,0.5,0.4764470889544382,2.7,2.839861780263007,-1.1801102413025504,1.1801102413025504,4.731712978711933,4.731712978711933,-1.7320814298953024,1.7320814298953024,-4.710582209112357,4.710582209112357,5.180065935666922,5.180065935666922
3,40.0,cmaes,0.3436603529999047,4.848337887189304,3.3871039306632156e-10,873.2864232855345,86.24393132561008,0.3566938943205844,876.7834055870768,86.59397397894007,0.35797243658363453,876.783405586914,86.59397397895837,0.35797243658383654,-1.6279955161735415e-10,1.830358087318018e-11,2.0200507933054723e-13,41.0,39.709161125062565,40.0,46.36338113985242,90.0,87.58987625308524,0.5,0.46675402224983026,2.7,2.846521998568273,-1.2908388749374353,1.2908388749374353,6.363381139852422,6.363381139852422,-2.4101237469147634,2.4101237469147634,-6.649195550033948,6.649195550033948,5.426740687713809,5.426740687713809
4,50.0,cmaes,0.3430645010000717,8.287489091935921,4.3294434703966544e-10,759.3851662771766,82.10032316402089,0.3792552050149377,765.0034653728053,81.71145242669976,0.37600344097189387,765.0034653725677,81.71145242669441,0.3760034409721625,-2.376054908381775e-10,-5.357492227631155e-12,2.686184608080566e-13,41.0,39.88028896060417,50.0,55.695331116400425,90.0,87.27238975631323,0.5,0.47212460393650607,2.7,2.8325566087551795,-1.1197110393958312,1.1197110393958312,5.695331116400425,5.695331116400425,-2.727610243686769,2.727610243686769,-5.575079212698785,5.575079212698785,4.909504027969603,4.909504027969603
5,60.0,cmaes,0.34424314500006403,18.186199827893716,2.802131859880319e-10,660.6131560001819,78.09201474558877,0.40250831951587684,677.8691947442758,77.79250375530137,0.4014891717365386,677.8691947444233,77.79250375532948,0.40148917173670706,1.475655153626576e-10,2.8109070626669563e-11,1.684763439868675e-13,41.0,39.93113871031077,60.0,64.42374172932752,90.0,87.60371664134222,0.5,0.4694577430963501,2.7,2.8288348561689034,-1.0688612896892309,1.0688612896892309,4.423741729327517,4.423741729327517,-2.396283358657783,2.396283358657783,-6.108451380729985,6.108451380729985,4.7716613395890075,4.7716613395890075
6,70.0,cmaes,0.3453305689999979,7.146238666407724,1.418367645555918e-10,574.9002754301486,74.0975880346704,0.426453237823402,568.398307668696,74.72234278897311,0.4264177482441541,568.3983076687113,74.72234278893599,0.42641774824431683,1.5234036254696548e-11,-3.7118752516107634e-11,1.627031842588167e-13,41.0,39.633017332556456,70.0,79.63594293509463,90.0,86.5354793120721,0.5,0.4698877827107842,2.7,2.8340114370657354,-1.3669826674435441,1.3669826674435441,9.635942935094633,9.635942935094633,-3.4645206879279016,3.4645206879279016,-6.022443457843163,6.022443457843163,4.963386557990194,4.963386557990194
7,80.0,cmaes,0.3451014669999495,7.324049260464163,1.6048140594193683e-10,500.4629631082263,70.00874465601925,0.4510899599375133,505.05232263163083,69.48783521358358,0.4556400455151222,505.05232263161236,69.48783521355983,0.45564004551536774,-1.8474111129762605e-11,-2.3746338229102548e-11,2.4552582189585337e-13,41.0,39.90003163458272,80.0,86.67682370570554,90.0,87.92044020068363,0.5,0.4736606498499091,2.7,2.8201635349750975,-1.0999683654172827,1.0999683654172827,6.676823705705544,6.676823705705544,-2.079559799316371,2.079559799316371,-5.267870030018185,5.267870030018185,4.450501295373976,4.450501295373976
8,90.0,cmaes,0.3459554539999772,5.658213406809297,1.4338041864903062e-10,435.7574251833393,65.71702482791503,0.4764184858582104,438.6653509091943,65.16809752285394,0.4814679716163135,438.6653509091706,65.16809752285697,0.4814679716165841,-2.3646862246096134e-11,3.0269120543380268e-12,2.706168622523819e-13,41.0,39.9604295404274,90.0,96.98169106475594,90.0,85.94902631361519,0.5,0.4550087615031426,2.7,2.8073239422302056,-1.0395704595726016,1.0395704595726016,6.981691064755935,6.981691064755935,-4.050973686384808,4.050973686384808,-8.998247699371476,8.998247699371476,3.9749608233409433,3.9749608233409433
9,100.0,cmaes,0.3492345579998073,2.1371289334766423,1.9255086414204925e-10,379.4401467692086,61.10059186730224,0.5024388155854934,381.3688718026623,61.05830468680119,0.5028585188440479,381.3688718027412,61.05830468679059,0.5028585188443084,7.889866537880152e-11,-1.0601297617540695e-11,2.6056934387952424e-13,41.0,41.283747831057525,100.0,97.90866638047537,90.0,84.76139996034988,0.5,0.4414124870447643,2.7,2.681241132419199,0.283747831057525,0.283747831057525,-2.091333619524633,2.091333619524633,-5.238600039650123,5.238600039650123,-11.717502591047136,11.717502591047136,-0.6947728733630011,0.6947728733630011
