experiment_index,C_true,optimizer,run_time_seconds,loss_at_true_x,loss_at_recovered_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat,Vs_hat,sigma_hat,Vp_residual,Vs_residual,sigma_residual,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,cmaes_giulio,4.208153012999901,7.241233230831627,1.262989712813578e-12,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1335.1314325092735,101.41501369831109,0.29674502634853256,2.2737367544323206e-13,-7.247535904753022e-13,2.7755575615628914e-16,41.0,39.61548815811618,10.0,15.461452790369318,90.0,85.38863996510824,0.5,0.43289722060565095,2.7,2.863791589859195,-1.3845118418838211,1.3845118418838211,5.461452790369318,5.461452790369318,-4.61136003489176,4.61136003489176,-13.420555878869811,13.420555878869811,6.06635517997017,6.06635517997017
1,20.0,cmaes_giulio,3.665184658000726,8.793601699780483,1.6484591469634324e-12,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.7836795398239,95.82950427289033,0.31445208870395586,-1.3642420526593924e-12,-2.8421709430404007e-13,0.0,41.0,41.54245504092851,20.0,18.64692820081265,90.0,84.77260947931929,0.5,0.44965188125959965,2.7,2.6386774066291427,0.5424550409285089,0.5424550409285089,-1.3530717991873509,1.3530717991873509,-5.227390520680714,5.227390520680714,-10.069623748080069,10.069623748080069,-2.2712071618836087,2.2712071618836087
2,30.0,cmaes_giulio,3.7140143999995416,7.570205179970362,4.105160655853979e-12,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.4720261403036,90.89107308933242,0.3349327978301222,2.8421709430404007e-12,5.968558980384842e-13,-7.216449660063518e-16,41.0,40.063080467442745,30.0,34.51648966483024,90.0,94.54261564623708,0.5,0.5457772674683832,2.7,2.800976959656361,-0.9369195325572548,0.9369195325572548,4.516489664830239,4.516489664830239,4.542615646237081,4.542615646237081,9.155453493676635,9.155453493676635,3.7398873946800286,3.7398873946800286
3,40.0,cmaes_giulio,3.5246354649998466,26.685136711125928,6.094680315982259e-12,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,890.1125973178556,86.96948306101696,0.3454400384897004,-1.2505552149377763e-12,-2.0463630789890885e-12,-3.3306690738754696e-15,41.0,41.481085195532344,40.0,36.632221125147446,90.0,85.75718338451932,0.5,0.46980963584769225,2.7,2.648002242459183,0.4810851955323443,0.4810851955323443,-3.3677788748525543,3.3677788748525543,-4.2428166154806775,4.2428166154806775,-6.03807283046155,6.03807283046155,-1.9258428718821206,1.9258428718821206
4,50.0,cmaes_giulio,4.271521855999708,11.654733337750388,4.440892098500626e-14,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841064176893,82.20584198822812,0.3682931312121944,0.0,0.0,-5.551115123125783e-17,41.0,39.22626939082938,50.0,60.27018041554185,90.0,87.25968216396788,0.5,0.48736634562538383,2.7,2.899038880477831,-1.7737306091706202,1.7737306091706202,10.270180415541851,10.270180415541851,-2.740317836032119,2.740317836032119,-2.526730874923233,2.526730874923233,7.371810388067811,7.371810388067811
5,60.0,cmaes_giulio,4.325331459999688,21.55354750730697,1.4317436125566019e-12,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4188947408817,78.23760133590497,0.39579543434406234,-2.2737367544323206e-13,5.826450433232822e-13,9.992007221626409e-16,41.0,39.17275877637973,60.0,72.44615957191802,90.0,95.76101129678604,0.5,0.5874246428280507,2.7,2.886033060371224,-1.8272412236202697,1.8272412236202697,12.446159571918017,12.446159571918017,5.761011296786037,5.761011296786037,17.484928565610147,17.484928565610147,6.890113347082359,6.890113347082359
6,70.0,cmaes_giulio,3.794005040000229,9.109419362962832,1.2718714970105793e-12,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1482949937224,73.60742152026594,0.42577917133435966,1.1368683772161603e-13,-2.7000623958883807e-13,1.609823385706477e-15,41.0,40.18945568829777,70.0,73.64836939930215,90.0,97.54296976903925,0.5,0.5840386626876901,2.7,2.7898409449132417,-0.8105443117022304,0.8105443117022304,3.6483693993021546,3.6483693993021546,7.542969769039246,7.542969769039246,16.807732537538023,16.807732537538023,3.327442404194132,3.327442404194132
7,80.0,cmaes_giulio,3.8139142820000416,8.04197546893024,5.714539952350606e-12,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,505.82730238302474,69.77399171101472,0.45611617826345024,-2.2737367544323206e-12,9.094947017729282e-13,-5.329070518200751e-15,41.0,40.35284779808626,80.0,83.459721416201,90.0,89.55526968959461,0.5,0.48780056009620104,2.7,2.77123211088952,-0.647152201913741,0.647152201913741,3.459721416201006,3.459721416201006,-0.44473031040539013,0.44473031040539013,-2.4398879807597917,2.4398879807597917,2.6382263292414803,2.6382263292414803
8,90.0,cmaes_giulio,4.051404873000138,4.824845923925038,2.518873998269555e-12,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,433.57677899010827,65.40961964090354,0.48178212831999434,-7.958078640513122e-13,9.237055564881302e-13,-1.8318679906315083e-15,41.0,40.40857837640671,90.0,94.31184388906388,90.0,96.62119847306454,0.5,0.5720584777688118,2.7,2.7514597654159294,-0.5914216235932912,0.5914216235932912,4.31184388906388,4.31184388906388,6.621198473064538,6.621198473064538,14.41169555376236,14.41169555376236,1.9059172376270082,1.9059172376270082
9,100.0,cmaes_giulio,3.791199319000043,2.7196157841089157,4.68070027181966e-13,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.79554034302504,60.46627101580345,0.503553779384722,1.1368683772161603e-13,1.9895196601282805e-13,-4.440892098500626e-16,41.0,41.21743624396614,100.0,98.58268836773941,90.0,93.37079814759397,0.5,0.5351531445736322,2.7,2.6859707073479684,0.2174362439661408,0.2174362439661408,-1.417311632260592,1.417311632260592,3.3707981475939732,3.3707981475939732,7.030628914726433,7.030628914726433,-0.5196034315567328,0.5196034315567328
