experiment_index,C_true,optimizer,run_time_seconds,loss_at_true_x,loss_at_recovered_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat,Vs_hat,sigma_hat,Vp_residual,Vs_residual,sigma_residual,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,pso_giulio,6.601071577999392,7.241233230831627,5.681553005842943e-10,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1335.1314325091394,101.41501369850504,0.29674502634832006,-1.3392309483606368e-10,1.9322499156260164e-10,-2.1221913115709867e-13,41.0,40.15202204606004,10.0,12.991952038740367,90.0,90.59472320833413,0.5,0.4907456590523673,2.7,2.7976455838510264,-0.8479779539399601,0.8479779539399601,2.991952038740367,2.991952038740367,0.5947232083341305,0.5947232083341305,-1.8508681895265444,1.8508681895265444,3.6165031055935617,3.6165031055935617
1,20.0,pso_giulio,5.876852006000263,8.793601699780483,7.955041070317748e-10,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.7836795395544,95.82950427257255,0.3144520887037515,-2.708020474528894e-10,-3.1806735023565125e-10,-2.0433654768226006e-13,41.0,40.979247062544125,20.0,20.556123808964642,90.0,90.14120381607682,0.5,0.5016840897320977,2.7,2.698671531834863,-0.020752937455874587,0.020752937455874587,0.5561238089646423,0.5561238089646423,0.14120381607682475,0.14120381607682475,0.336817946419532,0.336817946419532,-0.04920252463471554,0.04920252463471554
2,30.0,pso_giulio,8.326781249001215,7.570205179970362,9.959375546486626e-10,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.4720261394302,90.89107308938306,0.3349327978300397,-8.705001164344139e-10,5.1230131248303223e-11,-8.321121569565548e-14,41.0,39.251481536483006,30.0,38.687447581669645,90.0,90.02122892252909,0.5,0.49220377786594166,2.7,2.899671892596533,-1.7485184635169944,1.7485184635169944,8.687447581669645,8.687447581669645,0.021228922529090255,0.021228922529090255,-1.5592444268116679,1.5592444268116679,7.395255281353059,7.395255281353059
3,40.0,pso_giulio,4.97160975800216,26.685136711125928,7.37916394655258e-10,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,890.1125973182776,86.96948306078862,0.34544003848980726,4.2075498640770093e-10,-2.3038637664285488e-10,1.0352829704629585e-13,41.0,40.56490414454394,40.0,40.68937464534884,90.0,91.10908200558583,0.5,0.5240146414386299,2.7,2.7470539372637797,-0.435095855456062,0.435095855456062,0.6893746453488419,0.6893746453488419,1.109082005585833,1.109082005585833,4.802928287725972,4.802928287725972,1.742738417177018,1.742738417177018
4,50.0,pso_giulio,5.483575308997388,11.654733337750388,3.097486711567399e-10,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841064175087,82.20584198818841,0.3682931312123157,-1.8064838513964787e-10,-3.97051280742744e-11,1.212363542890671e-13,41.0,39.371968119723334,50.0,59.265787422610586,90.0,89.78611313702154,0.5,0.5150031436946612,2.7,2.8808377539514805,-1.6280318802766658,1.6280318802766658,9.265787422610586,9.265787422610586,-0.21388686297845538,0.21388686297845538,3.0006287389322317,3.0006287389322317,6.697694590795566,6.697694590795566
5,60.0,pso_giulio,4.623301192998042,21.55354750730697,3.1015545687296253e-10,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4188947408521,78.23760133590507,0.3957954343436232,-2.97859514830634e-11,6.821210263296962e-13,-4.3814951666831803e-13,41.0,40.463755295500604,60.0,65.0326071578533,90.0,90.06806871530026,0.5,0.5186126354799516,2.7,2.7484463804599653,-0.5362447044993957,0.5362447044993957,5.032607157853306,5.032607157853306,0.0680687153002566,0.0680687153002566,3.7225270959903245,3.7225270959903245,1.794310387406114,1.794310387406114
6,70.0,pso_giulio,4.477616546002537,9.109419362962832,5.401989966458132e-10,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1482949940446,73.60742152011906,0.4257791713342298,3.2230218494078144e-10,-1.4715340057591675e-10,-1.2823075934420558e-13,41.0,41.16539869915722,70.0,67.80971561004073,90.0,92.25819368735378,0.5,0.5216186581201552,2.7,2.690792634388866,0.1653986991572225,0.1653986991572225,-2.190284389959274,2.190284389959274,2.2581936873537813,2.2581936873537813,4.323731624031035,4.323731624031035,-0.3410135411531193,0.3410135411531193
7,80.0,pso_giulio,3.6217177220023586,8.04197546893024,7.856630901414974e-10,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,505.8273023832384,69.77399171135141,0.4561161782629632,2.11400674743345e-10,3.37607275469054e-10,-4.923839114212569e-13,41.0,40.273129697137236,80.0,83.80625949126042,90.0,92.52417632425173,0.5,0.520116084992785,2.7,2.7775886632453606,-0.7268703028627641,0.7268703028627641,3.8062594912604197,3.8062594912604197,2.5241763242517266,2.5241763242517266,4.023216998557011,4.023216998557011,2.873654194272607,2.873654194272607
8,90.0,pso_giulio,3.7102207399984763,4.824845923925038,2.3385204883652477e-10,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,433.5767789900708,65.40961964072616,0.48178212831995176,-3.8255620893323794e-11,-1.7645618299866328e-10,-4.440892098500626e-14,41.0,40.80069992233468,90.0,91.63284291893163,90.0,91.8010611460529,0.5,0.5145050800006237,2.7,2.7192371231297274,-0.19930007766532043,0.19930007766532043,1.6328429189316296,1.6328429189316296,1.801061146052902,1.801061146052902,2.9010160001247343,2.9010160001247343,0.71248604184175,0.71248604184175
9,100.0,pso_giulio,3.9238153469996178,2.7196157841089157,5.436389116653118e-10,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.7955403434797,60.466271015806456,0.5035537793849397,4.547473508864641e-10,3.204547738278052e-12,2.1727064591914313e-13,41.0,42.077205191656,100.0,92.46454824785046,90.0,93.30307556735913,0.5,0.5287128048837377,2.7,2.611240110443818,1.0772051916559988,1.0772051916559988,-7.535451752149541,7.535451752149541,3.30307556735913,3.30307556735913,5.742560976747546,5.742560976747546,-3.2874033168956323,3.2874033168956323
