experiment_index,C_true,optimizer,run_time_seconds,loss_at_true_x,loss_at_recovered_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat,Vs_hat,sigma_hat,Vp_residual,Vs_residual,sigma_residual,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,simulated_annealing_giulio,11.282612713000162,7.241233230831627,7.173781568781123e-10,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1335.131432509312,101.41501369867932,0.2967450263482582,3.865352482534945e-11,3.67506913789839e-10,-2.740585536287199e-13,41.0,42.154200688797324,10.0,5.150371390329136,90.0,96.34116754815375,0.5,0.5770546224296567,2.7,2.571438901353892,1.1542006887973244,1.1542006887973244,-4.849628609670864,4.849628609670864,6.341167548153749,6.341167548153749,15.410924485931332,15.410924485931332,-4.761522172078077,4.761522172078077
1,20.0,simulated_annealing_giulio,11.84744664200025,8.793601699780483,5.817160086962758e-10,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.7836795403548,95.82950427293297,0.31445208870394614,5.295532901072875e-10,4.234834705130197e-11,-9.71445146547012e-15,41.0,42.3367606548085,20.0,15.217726770042882,90.0,87.71513010548328,0.5,0.487256251309688,2.7,2.5515502889474835,1.3367606548085007,1.3367606548085007,-4.782273229957118,4.782273229957118,-2.284869894516717,2.284869894516717,-2.5487497380623947,2.5487497380623947,-5.4981374463895065,5.4981374463895065
2,30.0,simulated_annealing_giulio,11.39424781299931,7.570205179970362,7.083666986318349e-10,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.4720261406588,90.891073089637,0.33493279783007235,3.581135388230905e-10,3.0517810500896303e-10,-5.057065877167588e-14,41.0,40.189548586160655,30.0,33.87652139679284,90.0,95.30282677174125,0.5,0.5551143897902243,2.7,2.7858481998897977,-0.8104514138393455,0.8104514138393455,3.876521396792839,3.876521396792839,5.302826771741252,5.302826771741252,11.022877958044862,11.022877958044862,3.1795629588813896,3.1795629588813896
3,40.0,simulated_annealing_giulio,11.49669516600079,26.685136711125928,5.97196958551649e-10,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,890.1125973179957,86.96948306067964,0.3454400384895617,1.3881162885809317e-10,-3.3936942145373905e-10,-1.4205303600078878e-13,41.0,40.53750759436608,40.0,40.79239009212,90.0,91.55499825971057,0.5,0.528877434035442,2.7,2.7499167621036427,-0.4624924056339168,0.4624924056339168,0.7923900921200016,0.7923900921200016,1.5549982597105725,1.5549982597105725,5.7754868070883925,5.7754868070883925,1.8487689668015734,1.8487689668015734
4,50.0,simulated_annealing_giulio,11.430472783000369,11.654733337750388,8.264198214646967e-10,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841064170269,82.20584198828759,0.3682931312120527,-6.624532034038566e-10,5.947242698312039e-11,-1.417754802446325e-13,41.0,39.82122809322393,50.0,56.85571746903406,90.0,88.55288700058661,0.5,0.5014739126151763,2.7,2.8300441704931196,-1.1787719067760705,1.1787719067760705,6.855717469034062,6.855717469034062,-1.4471129994133918,1.4471129994133918,0.294782523035253,0.294782523035253,4.816450759004423,4.816450759004423
5,60.0,simulated_annealing_giulio,11.476917347999915,21.55354750730697,6.765841220612856e-10,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4188947408296,78.23760133597467,0.3957954343431935,-5.2295945351943374e-11,7.028688742138911e-11,-8.678613383494849e-13,41.0,41.466995176358665,60.0,59.78377540546869,90.0,82.49432250641235,0.5,0.43694556618172276,2.7,2.6460418700176325,0.4669951763586653,0.4669951763586653,-0.2162245945313117,0.2162245945313117,-7.505677493587655,7.505677493587655,-12.610886763655449,12.610886763655449,-1.9984492586062113,1.9984492586062113
6,70.0,simulated_annealing_giulio,12.063278818999606,9.109419362962832,9.162555159036856e-10,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1482949933624,73.60742152022317,0.4257791713334276,-3.5993252822663635e-10,-4.304467893234687e-11,-9.304779169383437e-13,41.0,40.732095387672025,70.0,70.27585500332064,90.0,95.5904268863308,0.5,0.5596864938314149,2.7,2.7341667249256143,-0.2679046123279747,0.2679046123279747,0.2758550033206433,0.2758550033206433,5.590426886330803,5.590426886330803,11.937298766282979,11.937298766282979,1.2654342565042267,1.2654342565042267
7,80.0,simulated_annealing_giulio,20.374748909999653,8.04197546893024,6.45397813977222,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,506.6980997744443,65.79582916887695,0.45947991479409117,0.870797391417284,-3.9781625421368574,0.003363736530635597,41.0,40.546830933506634,80.0,81.8143481085292,90.0,91.84754241478034,0.5,0.5058945546938188,2.7,2.798037518783659,-0.4531690664933663,0.4531690664933663,1.8143481085292024,1.8143481085292024,1.8475424147803352,1.8475424147803352,1.1789109387637664,1.1789109387637664,3.6310192142095867,3.6310192142095867
8,90.0,simulated_annealing_giulio,21.15986537400022,4.824845923925038,13.072666904489669,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,444.94455941768433,65.62677563470665,0.4783534726011344,11.36778042757527,0.2171559938040275,-0.0034286557188617506,41.0,40.77927010870535,90.0,89.83731033312206,90.0,92.5371587192981,0.5,0.5205525876823806,2.7,2.7284449752189053,-0.2207298912946527,0.2207298912946527,-0.16268966687793807,0.16268966687793807,2.5371587192981053,2.5371587192981053,4.11051753647611,4.11051753647611,1.0535176007001887,1.0535176007001887
9,100.0,simulated_annealing_giulio,19.353304031000334,2.7196157841089157,5.741344105062238,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.7547650227271,54.84792307870775,0.5033453812163576,-0.0407753202978256,-5.6183479370955,-0.0002083981683648206,41.0,41.024553784108164,100.0,99.74912913235605,90.0,94.35820240811532,0.5,0.5473947896256723,2.7,2.7795726577508435,0.024553784108164223,0.024553784108164223,-0.25087086764395394,0.25087086764395394,4.358202408115318,4.358202408115318,9.478957925134468,9.478957925134468,2.947135472253456,2.947135472253456
