C_true,candidate_name,phi_percent,C_percent,S_b_percent,sigma_b_inv,xi,Vp_obs,Vs_obs,sigma_obs,objective
10.0,true_C10,41.0,10.0,90.0,0.5,2.7,1335.1314325092733,101.41501369831181,0.2967450263485323,7.241233230831627
10.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,1335.1314325092733,101.41501369831181,0.2967450263485323,2667.145338635236
10.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,1335.1314325092733,101.41501369831181,0.2967450263485323,2568.8740234856855
10.0,near_true,42.0,12.0,91.0,0.6,2.72,1335.1314325092733,101.41501369831181,0.2967450263485323,171.54601865850137
10.0,boundary_like,5.0,100.0,100.0,25.0,2.9,1335.1314325092733,101.41501369831181,0.2967450263485323,3613.4423780666984
20.0,true_C10,41.0,10.0,90.0,0.5,2.7,1148.7836795398252,95.82950427289062,0.31445208870395586,211.9084030524812
20.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,1148.7836795398252,95.82950427289062,0.31445208870395586,2505.3592660462677
20.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,1148.7836795398252,95.82950427289062,0.31445208870395586,2395.916932045875
20.0,near_true,42.0,12.0,91.0,0.6,2.72,1148.7836795398252,95.82950427289062,0.31445208870395586,145.5886767579015
20.0,boundary_like,5.0,100.0,100.0,25.0,2.9,1148.7836795398252,95.82950427289062,0.31445208870395586,3824.351811416627
30.0,true_C10,41.0,10.0,90.0,0.5,2.7,997.4720261403007,90.89107308933183,0.3349327978301229,387.6046016842567
30.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,997.4720261403007,90.89107308933183,0.3349327978301229,2664.74994275159
30.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,997.4720261403007,90.89107308933183,0.3349327978301229,2259.1129615114837
30.0,near_true,42.0,12.0,91.0,0.6,2.72,997.4720261403007,90.89107308933183,0.3349327978301229,311.4080130225594
30.0,boundary_like,5.0,100.0,100.0,25.0,2.9,997.4720261403007,90.89107308933183,0.3349327978301229,4000.048010048402
40.0,true_C10,41.0,10.0,90.0,0.5,2.7,890.1125973178569,86.969483061019,0.3454400384897037,507.96713604168247
40.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,890.1125973178569,86.969483061019,0.3454400384897037,2785.1124771090163
40.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,890.1125973178569,86.969483061019,0.3454400384897037,2156.913458167396
40.0,near_true,42.0,12.0,91.0,0.6,2.72,890.1125973178569,86.969483061019,0.3454400384897037,423.92736732335953
40.0,boundary_like,5.0,100.0,100.0,25.0,2.9,890.1125973178569,86.969483061019,0.3454400384897037,4120.410544405828
50.0,true_C10,41.0,10.0,90.0,0.5,2.7,755.6841064176893,82.20584198822812,0.3682931312121945,665.1222605381728
50.0,midpoint_phase2,35.0,50.0,90.0,12.6,2.7,755.6841064176893,82.20584198822812,0.3682931312121945,2942.267601605506
50.0,bad_candidate,60.0,80.0,82.0,10.0,2.85,755.6841064176893,82.20584198822812,0.3682931312121945,2035.6843187179695
50.0,near_true,42.0,12.0,91.0,0.6,2.72,755.6841064176893,82.20584198822812,0.3682931312121945,571.5552096742681
50.0,boundary_like,5.0,100.0,100.0,25.0,2.9,755.6841064176893,82.20584198822812,0.3682931312121945,4277.565668902318
