experiment_index,C_true,optimizer,run_time_seconds,best_start_index,nfev_best,success,symbolic_loss_at_recovered_x,exact_loss_at_recovered_x,exact_loss_at_true_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat_symbolic,Vs_hat_symbolic,sigma_hat_symbolic,Vp_hat_exact,Vs_hat_exact,sigma_hat_exact,selection_rule,best_symbolic_start_index,best_exact_start_index,best_symbolic_loss,exact_loss_of_best_symbolic_candidate,exact_refinement_enabled,exact_refinement_success,exact_refinement_nfev,symbolic_loss_before_refinement,exact_loss_before_refinement,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,symbolic_least_squares,7.14672596300079,4,11,True,107.03981975199707,5.026741689562186e-09,7.241233230831627,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1260.9826649322836,131.31228538915994,0.29940490802001396,1335.131432510088,101.41501369869813,0.2967450263451634,best_exact_loss_among_symbolic_candidates,2,4,23.42864661167366,170.58121531890106,True,True,80,23.4286466375008,143.40326927622027,41.0,41.220196531300054,10.0,8.713975238598227,90.0,99.66315374932098,0.5,0.6053817617510522,2.7,2.669725485901261,0.22019653130005423,0.22019653130005423,-1.286024761401773,1.286024761401773,9.663153749320983,9.663153749320983,21.076352350210435,21.076352350210435,-1.121278299953298,1.121278299953298
1,20.0,symbolic_least_squares,52.911230507001164,1,87,True,47.78206179152604,6.674341079815349e-10,8.793601699780483,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1127.5483885340702,120.04169650408826,0.31677759453192467,1148.783679540244,95.82950427273207,0.3144520887038668,best_exact_loss_among_symbolic_candidates,2,1,1.7023353393597063e-08,147.627321634755,True,True,51,1.1724624808806539e-06,93.96454249674483,41.0,41.642638889132606,20.0,17.350670796545458,90.0,99.05406900766177,0.5,0.6098073586612205,2.7,2.6200089161628073,0.6426388891326056,0.6426388891326056,-2.649329203454542,2.649329203454542,9.054069007661766,9.054069007661766,21.9614717322441,21.9614717322441,-2.9626327347108474,2.9626327347108474
2,30.0,symbolic_least_squares,41.058345493998786,2,58,True,28.764559269449087,2.461630899119882e-09,7.570205179970362,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,1006.5288070124632,105.6012733179048,0.34063451838475123,997.4720261397073,90.89107309060498,0.33493279783079044,best_exact_loss_among_symbolic_candidates,4,2,5.042316786330048e-09,82.17234022063934,True,True,32,3.131711672210713e-07,16.44857550392488,41.0,42.31881684975393,30.0,24.17434096464832,90.0,97.02117312952738,0.5,0.5910101091545317,2.7,2.5488464237532957,1.3188168497539294,1.3188168497539294,-5.825659035351681,5.825659035351681,7.021173129527384,7.021173129527384,18.202021830906332,18.202021830906332,-5.598280601729794,5.598280601729794
3,40.0,symbolic_least_squares,98.18898372900003,2,391,True,50.31606671041915,3.221853006607489e-09,26.685136711125928,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,921.0024375958986,104.6235688257808,0.347567738144172,890.1125973184992,86.96948306030848,0.34544003848747346,best_exact_loss_among_symbolic_candidates,3,2,3.957909555651895e-09,55.17631871013445,True,True,120,2.7667088531302397e-07,45.79154349354293,41.0,42.32331895088038,40.0,31.939854036382414,90.0,98.89383216099625,0.5,0.625906057349124,2.7,2.549656449189506,1.3233189508803775,1.3233189508803775,-8.060145963617586,8.060145963617586,8.893832160996254,8.893832160996254,25.181211469824795,25.181211469824795,-5.568279659647925,5.568279659647925
4,50.0,symbolic_least_squares,107.93145067200021,0,110,True,90.97650631785565,3.382538693585957e-11,11.654733337750388,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,807.4539979349516,114.72489976479801,0.37759318070549114,755.6841064177122,82.20584198821794,0.36829313121219337,best_exact_loss_among_symbolic_candidates,5,0,8.539888796121886e-10,104.89431180140181,True,True,40,1.6110661782420266e-07,33.626860477336955,41.0,41.609381896334405,50.0,46.72214657208041,90.0,97.29472973166276,0.5,0.6057024311343493,2.7,2.627405994658607,0.6093818963344049,0.6093818963344049,-3.277853427919588,3.277853427919588,7.2947297316627555,7.2947297316627555,21.14048622686986,21.14048622686986,-2.6886668644960423,2.6886668644960423
5,60.0,symbolic_least_squares,64.12411689200235,0,84,True,96.89783844966806,3.673852333463401e-09,21.55354750730697,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,697.7067674731571,111.14083118956412,0.41160896395929464,643.4188947402498,78.23760133298498,0.3957954343438697,best_exact_loss_among_symbolic_candidates,9,0,1.3455105474236007e-08,98.2183348817289,True,True,47,6.497680615780155e-08,78.28146145484992,41.0,41.69954683072554,60.0,57.55149565824409,90.0,96.658847511356,0.5,0.5947749683170924,2.7,2.6135670358897447,0.6995468307255379,0.6995468307255379,-2.448504341755907,2.448504341755907,6.658847511356001,6.658847511356001,18.954993663418485,18.954993663418485,-3.2012208929724246,3.2012208929724246
6,70.0,symbolic_least_squares,69.85228766600267,8,137,True,77.84647582659332,4.3916656977671664e-09,9.109419362962832,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,631.7294439795818,97.06942390639844,0.4365664429628275,583.1482949952402,73.60742152015544,0.42577917132934917,best_exact_loss_among_symbolic_candidates,2,8,4.441309542357885e-09,115.479412159466,True,True,75,3.1125858281910723e-06,68.4016333253339,41.0,42.63031847782621,70.0,59.758572247329624,90.0,99.2750280445481,0.5,0.6055791968105,2.7,2.5327767363280316,1.6303184778262079,1.6303184778262079,-10.241427752670376,10.241427752670376,9.275028044548094,9.275028044548094,21.115839362099997,21.115839362099997,-6.193454210072911,6.193454210072911
7,80.0,symbolic_least_squares,96.52584858499904,9,98,True,86.51547563374562,7.633946808027758e-10,8.04197546893024,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,548.7802622318264,102.45713763626377,0.4799316165945355,505.8273023827955,69.77399171118148,0.45611617826421325,best_exact_loss_among_symbolic_candidates,5,9,1.7824159925794447e-09,103.09297899796779,True,True,88,1.6484617798795398e-05,60.89394506553232,41.0,42.14163669866096,80.0,72.05663672920964,90.0,98.5665520631067,0.5,0.5845160554104092,2.7,2.5852659869729626,1.1416366986609603,1.1416366986609603,-7.943363270790357,7.943363270790357,8.566552063106698,8.566552063106698,16.90321108208184,16.90321108208184,-4.249407889890279,4.249407889890279
8,90.0,symbolic_least_squares,79.19383879299858,7,154,True,81.45982863388276,1.7289405462861396e-09,4.824845923925038,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,474.54806342746434,90.30748288401057,0.5209092440189361,433.576778990032,65.40961964121142,0.4817821283168787,best_exact_loss_among_symbolic_candidates,8,7,5.316795892440496e-09,106.56366208371566,True,True,49,1.1967940633184071e-05,82.63041452796739,41.0,43.084973444850824,90.0,76.242618480724,90.0,95.2130567079176,0.5,0.5433123469417818,2.7,2.5029526351167335,2.0849734448508244,2.0849734448508244,-13.757381519275995,13.757381519275995,5.213056707917602,5.213056707917602,8.662469388356353,8.662469388356353,-7.298050551232098,7.298050551232098
9,100.0,symbolic_least_squares,66.64182106899898,2,113,True,81.4387591505513,3.827432514924567e-06,2.7196157841089157,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,406.4368444332416,87.15555094541106,0.5797762048318257,377.79554108347725,60.466268021766666,0.5035537791490486,best_exact_loss_among_symbolic_candidates,8,2,5.497824417943775e-13,95.61513345556948,True,True,430,4.544286318797219e-06,90.19243613660589,41.0,43.353307603042026,100.0,83.97355875337279,90.0,87.34032676918171,0.5,0.4595655585775667,2.7,2.50049903989534,2.353307603042026,2.353307603042026,-16.026441246627215,16.026441246627215,-2.659673230818285,2.659673230818285,-8.08688828448666,8.08688828448666,-7.388924448320749,7.388924448320749
