experiment_index,C_true,optimizer,run_time_seconds,best_start_index,nfev_best,success,symbolic_loss_at_recovered_x,exact_loss_at_recovered_x,exact_loss_at_true_x,Vp_true,Vs_true,sigma_true,Vp_obs,Vs_obs,sigma_obs,Vp_hat_symbolic,Vs_hat_symbolic,sigma_hat_symbolic,Vp_hat_exact,Vs_hat_exact,sigma_hat_exact,selection_rule,best_symbolic_start_index,best_exact_start_index,best_symbolic_loss,exact_loss_of_best_symbolic_candidate,exact_refinement_enabled,exact_refinement_success,exact_refinement_nfev,symbolic_loss_before_refinement,exact_loss_before_refinement,use_exact_reranking,phi_percent_true,phi_percent_hat,C_percent_true,C_percent_hat,S_b_percent_true,S_b_percent_hat,sigma_b_inv_true,sigma_b_inv_hat,xi_true,xi_hat,phi_percent_error_percentage_points,phi_percent_abs_error_percentage_points,C_percent_error_percentage_points,C_percent_abs_error_percentage_points,S_b_percent_error_percentage_points,S_b_percent_abs_error_percentage_points,sigma_b_inv_error_relative_percent,sigma_b_inv_abs_error_relative_percent,xi_error_relative_percent,xi_abs_error_relative_percent
0,10.0,differential_evolution_polish,43.553430731000844,1,42,True,0.0018871986061661516,212.87410629454268,7.365677841141663,1332.0414118977117,101.3839025457343,0.2931607850770407,1335.1314325092733,101.41501369831181,0.2967450263485323,1335.1312872255173,101.41511800119702,0.29674395169697004,1408.4483099275858,73.50392632501553,0.29674344835595595,best_symbolic_loss,1,1,0.0018871986061661516,212.87410629454268,False,False,0,0.0018871986061661516,212.87410629454268,False,41.0,42.243869580851616,10.0,1.3473459413204019,90.0,93.04748211311518,0.5,0.5270748596851256,2.7,2.7969769025491225,1.2438695808516158,1.2438695808516158,-8.652654058679598,8.652654058679598,3.04748211311518,3.04748211311518,5.414971937025115,5.414971937025115,3.591737131448973,3.591737131448973
1,20.0,differential_evolution_polish,48.37342912399981,1,45,True,3.128519701078858e-07,160.58895560107416,9.674070226567325,1156.5405464105863,95.6093871411939,0.31364668435163595,1148.7836795398252,95.82950427289062,0.31445208870395586,1148.783679566372,95.82950425153354,0.3144520885264465,1193.867702745185,72.7285288799026,0.3144520338939514,best_symbolic_loss,1,1,3.128519701078858e-07,160.58895560107416,False,False,0,3.128519701078858e-07,160.58895560107416,False,41.0,42.84381175499401,20.0,9.91088432416518,90.0,96.59328517644279,0.5,0.5826039078227867,2.7,2.686105458683881,1.8438117549940074,1.8438117549940074,-10.08911567583482,10.08911567583482,6.593285176442791,6.593285176442791,16.52078156455734,16.52078156455734,-0.5146126413377449,0.5146126413377449
2,30.0,differential_evolution_polish,45.765177622999545,1,24,True,5.02742011576629e-07,122.94536066940944,8.432735264198715,1004.729927807081,90.67544056827474,0.33482438743281717,997.4720261403007,90.89107308933183,0.3349327978301229,997.4720261353419,90.89107318402239,0.3349327978028291,1034.5214797398335,73.7121299139308,0.3349314615555404,best_symbolic_loss,1,1,5.02742011576629e-07,122.94536066940944,False,False,0,5.02742011576629e-07,122.94536066940944,False,41.0,43.585432206015376,30.0,17.213671619262392,90.0,83.8930691946616,0.5,0.4470860164812104,2.7,2.5675674284985472,2.5854322060153763,2.5854322060153763,-12.786328380737608,12.786328380737608,-6.1069308053383935,6.1069308053383935,-10.582796703757925,10.582796703757925,-4.904910055609368,4.904910055609368
3,40.0,differential_evolution_polish,52.39248068699999,1,37,True,0.0005052473293485349,71.1267296052237,29.58734365276164,873.2864232855345,86.24393132561008,0.3566938943205844,890.1125973178569,86.969483061019,0.3454400384897037,890.1125997617177,86.96948076901913,0.34543945217633404,887.914117010298,73.18396713269,0.3454392393989244,best_symbolic_loss,1,1,0.0005052473293485349,71.1267296052237,False,False,0,0.0005052473293485349,71.1267296052237,False,41.0,42.62412691330283,40.0,30.754386664309553,90.0,92.99967351421097,0.5,0.5567810064917849,2.7,2.6389061626612835,1.624126913302831,1.624126913302831,-9.245613335690447,9.245613335690447,2.9996735142109685,2.9996735142109685,11.356201298356972,11.356201298356972,-2.2627347162487648,2.2627347162487648
4,50.0,differential_evolution_polish,53.5002979689998,1,66,True,0.0002398375054202262,68.87306549420803,12.076808634579281,759.3851662771766,82.10032316402089,0.3792552050149377,755.6841064176893,82.20584198822812,0.3682931312121945,755.6841045757653,82.20584303988062,0.3682928155279602,730.9491241271196,73.37822631313334,0.36829312466328057,best_symbolic_loss,1,1,0.0002398375054202262,68.87306549420803,False,False,0,0.0002398375054202262,68.87306549420803,False,41.0,42.95567735030194,50.0,41.951810211988885,90.0,96.56479585904549,0.5,0.6108778612458845,2.7,2.5569069634566253,1.95567735030194,1.95567735030194,-8.048189788011115,8.048189788011115,6.564795859045489,6.564795859045489,22.175572249176902,22.175572249176902,-5.29974209419907,5.29974209419907
5,60.0,differential_evolution_polish,55.422525961001156,1,47,True,0.0003571561510611332,45.201002631839344,22.135893868569436,660.6131560001819,78.09201474558877,0.40250831951587684,643.4188947408819,78.23760133590439,0.39579543434406134,643.4189076132129,78.23759229609095,0.3957949658163099,606.2300797670849,79.83998235831866,0.3957949917249179,best_symbolic_loss,1,1,0.0003571561510611332,45.201002631839344,False,False,0,0.0003571561510611332,45.201002631839344,False,41.0,39.84152292521961,60.0,73.23769888182967,90.0,90.64668807444068,0.5,0.5448677111927811,2.7,2.778721434422878,-1.158477074780393,1.158477074780393,13.237698881829672,13.237698881829672,0.6466880744406751,0.6466880744406751,8.97354223855622,8.97354223855622,2.9156086823288123,2.9156086823288123
6,70.0,differential_evolution_polish,51.82735185099955,1,46,True,1.9450953168131946e-05,55.41973847048219,11.070085420579552,574.9002754301486,74.0975880346704,0.426453237823402,583.1482949937223,73.60742152026621,0.42577917133435805,583.1482927155688,73.60742306908946,0.4257791542412963,544.4053158753946,76.94272961733184,0.42577956811380724,best_symbolic_loss,1,1,1.9450953168131946e-05,55.41973847048219,False,False,0,1.9450953168131946e-05,55.41973847048219,False,41.0,40.277022368713844,70.0,78.3916219990355,90.0,93.62347893719593,0.5,0.5596074434433401,2.7,2.724304303406491,-0.722977631286156,0.722977631286156,8.391621999035493,8.391621999035493,3.6234789371959266,3.6234789371959266,11.921488688668024,11.921488688668024,0.9001593854255897,0.9001593854255897
7,80.0,differential_evolution_polish,50.211865155999476,1,64,True,0.00069841151937311,60.43948790126849,8.980987248951998,500.4629631082263,70.00874465601925,0.4510899599375133,505.827302383027,69.7739917110138,0.4561161782634556,505.8273102430715,69.7739856884109,0.45611480427842366,472.8051856739108,75.2574414414649,0.4561159233291851,best_symbolic_loss,1,1,0.00069841151937311,60.43948790126849,False,False,0,0.00069841151937311,60.43948790126849,False,41.0,40.393370299348064,80.0,88.58149111993635,90.0,98.43596464338526,0.5,0.6119999474743318,2.7,2.6713332580052054,-0.6066297006519363,0.6066297006519363,8.581491119936345,8.581491119936345,8.435964643385262,8.435964643385262,22.399989494866368,22.399989494866368,-1.0617311849923998,1.0617311849923998
8,90.0,differential_evolution_polish,52.98530265199952,1,86,True,0.005021686246974966,62.05864184845966,6.054466671974664,435.7574251833393,65.71702482791503,0.4764184858582104,433.57677899010906,65.40961964090262,0.4817821283199962,433.5770028509836,65.40947563444524,0.4817726633765209,401.22058863114773,71.34930651315157,0.48177280418260926,best_symbolic_loss,1,1,0.005021686246974966,62.05864184845966,False,False,0,0.005021686246974966,62.05864184845966,False,41.0,41.93699659034196,90.0,89.74397468634241,90.0,90.08583684805484,0.5,0.5103333640711787,2.7,2.521999680692443,0.9369965903419626,0.9369965903419626,-0.25602531365758807,0.25602531365758807,0.08583684805483927,0.08583684805483927,2.066672814235737,2.066672814235737,-6.592604418798415,6.592604418798415
9,100.0,differential_evolution_polish,46.119237393999356,1,41,True,9.216017451407765e-07,60.755490495368434,5.25689919010488,379.4401467692086,61.10059186730224,0.5024388155854934,377.7955403430249,60.46627101580325,0.5035537793847225,377.79554013508795,60.46627115714841,0.5035537793671275,351.20190571592246,67.2985780477681,0.5035545925949139,best_symbolic_loss,1,1,9.216017451407765e-07,60.755490495368434,False,False,0,9.216017451407765e-07,60.755490495368434,False,41.0,41.879437643505696,100.0,99.42761166651933,90.0,94.31608187191044,0.5,0.5625445050090581,2.7,2.516037697761542,0.8794376435056961,0.8794376435056961,-0.5723883334806743,0.5723883334806743,4.316081871910441,4.316081871910441,12.508901001811612,12.508901001811612,-6.813418601424369,6.813418601424369
