complexity,loss,equation,score,sympy_format,lambda_format
1,837.51,49.87985,0.0,49.8798500000000,PySRFunction(X=>49.8798500000000)
3,836.0674,sigma + 49.817616,0.0008619860409763144,sigma + 49.817616,PySRFunction(X=>sigma + 49.817616)
4,725.2426,sqrt(sigma) * 205.58272,0.14220301227317833,205.58272*sqrt(sigma),PySRFunction(X=>205.58272*sqrt(sigma))
5,507.81714,square(log(sigma) + 10.334888),0.3563847974241312,(log(sigma) + 10.334888)**2,PySRFunction(X=>(log(sigma) + 10.334888)**2)
6,467.07166,(sqrt(sigma) - sigma) * 322.85336,0.08363872871268062,322.85336*sqrt(sigma) - 322.85336*sigma,PySRFunction(X=>322.85336*sqrt(sigma) - 322.85336*sigma)
7,355.05362,16.732595 / (sigma - (-0.011232761 / sigma)),0.2742138731112971,16.732595/(sigma - (-1)*0.011232761/sigma),PySRFunction(X=>16.732595/(sigma - (-1)*0.011232761/sigma))
9,353.61728,(16.455133 / (sigma - (-0.012079762 / sigma))) + 3.9872494,0.0020268109877376148,3.9872494 + 16.455133/(sigma - (-1)*0.012079762/sigma),PySRFunction(X=>3.9872494 + 16.455133/(sigma - (-1)*0.012079762/sigma))
10,335.69476,log(Vs) + (16.837187 / (sigma - (-0.0123092765 / sigma))),0.05201290365842283,log(Vs) + 16.837187/(sigma + 0.0123092765/sigma),PySRFunction(X=>log(Vs) + 16.837187/(sigma + 0.0123092765/sigma))
12,331.97693,(16.988457 / (sigma - (-0.012536909 / sigma))) + sqrt(sigma * Vs),0.005568408069512259,sqrt(Vs*sigma) + 16.988457/(sigma + 0.012536909/sigma),PySRFunction(X=>sqrt(Vs*sigma) + 16.988457/(sigma + 0.012536909/sigma))
14,326.1493,(log(Vs * (16.738108 / Vp)) + 19.581263) / (sigma - (-0.013505394 / sigma)),0.008855113281102316,(log(16.738108*Vs/Vp) + 19.581263)/(sigma + 0.013505394/sigma),PySRFunction(X=>(log(16.738108*Vs/Vp) + 19.581263)/(sigma + 0.013505394/sigma))
15,316.54712,(log((16.654078 / Vp) * sqrt(Vs)) + 17.20094) / (sigma - (-0.009929532 / sigma)),0.029883143128098987,(log(16.654078*sqrt(Vs)/Vp) + 17.20094)/(sigma + 0.009929532/sigma),PySRFunction(X=>(log(16.654078*sqrt(Vs)/Vp) + 17.20094)/(sigma + 0.009929532/sigma))
16,306.326,(log(((0.33367664 + Vs) * 16.619062) / Vp) + 16.619062) / (sigma - (-0.011232761 / sigma)),0.032822214523144884,(log((16.619062*Vs + 5.54539276811168)/Vp) + 16.619062)/(sigma + 0.011232761/sigma),PySRFunction(X=>(log((16.619062*Vs + 5.54539276811168)/Vp) + 16.619062)/(sigma + 0.011232761/sigma))
17,286.10867,(sqrt(sqrt(Vs)) + ((sigma / square((sigma - -0.11304624) * 0.41351184)) - log(Vp))) * 7.8242717,0.068278190650449,7.8242717*Vs**(1/4) + 7.8242717*sigma/(0.41351184*sigma + 0.0467459587074816)**2 - 7.8242717*log(Vp),PySRFunction(X=>7.8242717*Vs**(1/4) + 7.8242717*sigma/(0.41351184*sigma + 0.0467459587074816)**2 - 7.8242717*log(Vp))
19,264.5483,((((sigma / (square(-0.1294282 - sigma) * 0.2261045)) + sqrt(sqrt(Vs))) + 1.8291211) - log(Vp)) * 10.683763,0.03917393018165817,10.683763*Vs**(1/4) + 47.2514390469893*sigma/(-sigma - 0.1294282)**2 - 10.683763*log(Vp) + 19.5418963306993,PySRFunction(X=>10.683763*Vs**(1/4) + 47.2514390469893*sigma/(-sigma - 0.1294282)**2 - 10.683763*log(Vp) + 19.5418963306993)
20,261.30063,(((exp(sigma) + sqrt(sqrt(Vs))) + (sigma / (square(sigma - -0.11236652) * 0.2435096))) - log(Vp)) * 10.639642,0.012352259777593497,10.639642*Vs**(1/4) + 43.6929057417038*sigma/(sigma + 0.11236652)**2 + 10.639642*exp(sigma) - 10.639642*log(Vp),PySRFunction(X=>10.639642*Vs**(1/4) + 43.6929057417038*sigma/(sigma + 0.11236652)**2 + 10.639642*exp(sigma) - 10.639642*log(Vp))
