complexity,loss,equation,score,sympy_format,lambda_format
1,837.51,49.87987,0.0,49.8798700000000,PySRFunction(X=>49.8798700000000)
3,836.0674,sigma + 49.816532,0.0008619860409763144,sigma + 49.816532,PySRFunction(X=>sigma + 49.816532)
4,725.2426,sqrt(sigma) * 205.5817,0.14220301227317833,205.5817*sqrt(sigma),PySRFunction(X=>205.5817*sqrt(sigma))
5,507.81714,square(log(sigma) + 10.334888),0.3563847974241312,(log(sigma) + 10.334888)**2,PySRFunction(X=>(log(sigma) + 10.334888)**2)
6,467.07166,(sqrt(sigma) - sigma) * 322.85275,0.08363872871268062,322.85275*sqrt(sigma) - 322.85275*sigma,PySRFunction(X=>322.85275*sqrt(sigma) - 322.85275*sigma)
7,415.20932,sigma * (92.35543 / (sigma - -0.030724049)),0.11769991482126553,sigma*92.35543/(sigma - 1*(-0.030724049)),PySRFunction(X=>sigma*92.35543/(sigma - 1*(-0.030724049)))
8,354.91312,(sigma * 16.376759) / (square(sigma) - -0.010850749),0.15690975148404565,sigma*16.376759/(sigma**2 - 1*(-0.010850749)),PySRFunction(X=>sigma*16.376759/(sigma**2 - 1*(-0.010850749)))
10,347.49976,(sigma + (sigma / (square(sigma) - -0.010888494))) * 16.042982,0.010554526386031993,(sigma + sigma/(sigma**2 - 1*(-0.010888494)))*16.042982,PySRFunction(X=>(sigma + sigma/(sigma**2 - 1*(-0.010888494)))*16.042982)
11,335.69305,((16.785273 / (square(sigma) - -0.012253059)) * sigma) + log(Vs),0.03456677359408585,16.785273*sigma/(sigma**2 + 0.012253059) + log(Vs),PySRFunction(X=>16.785273*sigma/(sigma**2 + 0.012253059) + log(Vs))
12,265.92038,square(log(square(15492.633 / Vp) * ((Vs * sigma) + 0.0077658664))),0.2330002600957746,log(240021677.272689*(Vs*sigma + 0.0077658664)/Vp**2)**2,PySRFunction(X=>log(240021677.272689*(Vs*sigma + 0.0077658664)/Vp**2)**2)
