complexity,loss,equation,score,sympy_format,lambda_format
1,399.9174,34.486374,0.0,34.4863740000000,PySRFunction(X=>34.4863740000000)
3,399.0786,sigma + 34.425484,0.0010498179066629454,sigma + 34.425484,PySRFunction(X=>sigma + 34.425484)
4,26.12216,69.26439 - sqrt(Vp),2.726374393728749,69.26439 - sqrt(Vp),PySRFunction(X=>69.26439 - sqrt(Vp))
6,25.950876,69.325325 - (sigma + sqrt(Vp)),0.003289314987138718,-sqrt(Vp) - sigma + 69.325325,PySRFunction(X=>-sqrt(Vp) - sigma + 69.325325)
7,7.462527,(sqrt(sqrt(Vs)) * -8.872773) + 67.52987,1.2463112694649414,67.52987 - 8.872773*Vs**(1/4),PySRFunction(X=>67.52987 - 8.872773*Vs**(1/4))
9,7.00689,(sqrt(sqrt(Vs)) * (-8.849587 - sigma)) + 67.61991,0.03150007306229091,Vs**(1/4)*(-sigma - 8.849587) + 67.61991,PySRFunction(X=>Vs**(1/4)*(-sigma - 8.849587) + 67.61991)
10,5.3777957,(65.0242 - log(sigma)) - (sqrt(sqrt(Vs)) * 9.087605),0.2646153816526041,-9.087605*Vs**(1/4) - log(sigma) + 65.0242,PySRFunction(X=>-9.087605*Vs**(1/4) - log(sigma) + 65.0242)
11,5.2369647,(62.51843 - log(square(sigma))) - (sqrt(sqrt(Vs)) * 9.302403),0.026536494251094625,-9.302403*Vs**(1/4) - log(sigma**2) + 62.51843,PySRFunction(X=>-9.302403*Vs**(1/4) - log(sigma**2) + 62.51843)
12,3.8214731,((sqrt(sqrt(Vs)) * -7.7887487) - sqrt(sigma * Vs)) + 66.871704,0.315106098219084,-7.7887487*Vs**(1/4) - sqrt(Vs*sigma) + 66.871704,PySRFunction(X=>-7.7887487*Vs**(1/4) - sqrt(Vs*sigma) + 66.871704)
13,3.4776473,(sqrt(sqrt(Vs)) * (-8.201462 - (sigma / (79.46777 / Vs)))) + 66.57412,0.0942799746210614,Vs**(1/4)*(-0.0125837179022389*Vs*sigma - 8.201462) + 66.57412,PySRFunction(X=>Vs**(1/4)*(-0.0125837179022389*Vs*sigma - 8.201462) + 66.57412)
15,3.422976,(sqrt(sqrt(Vs) + -0.00758026) * (-8.201462 - (sigma / (79.46777 / Vs)))) + 66.55927,0.007922826902123809,sqrt(sqrt(Vs) - 0.00758026)*(-0.0125837179022389*Vs*sigma - 8.201462) + 66.55927,PySRFunction(X=>sqrt(sqrt(Vs) - 0.00758026)*(-0.0125837179022389*Vs*sigma - 8.201462) + 66.55927)
16,3.2467182,(sqrt(sqrt(Vs)) * (-8.113351 - (sigma / ((65.08634 / Vs) + square(sigma))))) + 66.441734,0.052865646579651135,Vs**(1/4)*(-sigma/(sigma**2 + 65.08634/Vs) - 8.113351) + 66.441734,PySRFunction(X=>Vs**(1/4)*(-sigma/(sigma**2 + 65.08634/Vs) - 8.113351) + 66.441734)
17,2.8494153,(((Vs * -0.00035359495) - sqrt(sqrt(Vs))) * (9.92898 - exp(exp(sigma * -21.46344)))) + 66.97426,0.13053088621224002,(9.92898 - exp(exp(-21.46344*sigma)))*(-Vs**(1/4) - 0.00035359495*Vs) + 66.97426,PySRFunction(X=>(9.92898 - exp(exp(-21.46344*sigma)))*(-Vs**(1/4) - 0.00035359495*Vs) + 66.97426)
18,2.768119,((8.973285 - exp((sigma * -27.945698) - -0.615599)) * ((Vs * -0.00038278243) - sqrt(sqrt(Vs)))) + 66.96764,0.028945787177260422,(8.973285 - 1.85076487575705*exp(-27.945698*sigma))*(-Vs**(1/4) - 0.00038278243*Vs) + 66.96764,PySRFunction(X=>(8.973285 - 1.85076487575705*exp(-27.945698*sigma))*(-Vs**(1/4) - 0.00038278243*Vs) + 66.96764)
20,1.8673393,((((Vs * -0.0011088549) - sqrt(sqrt(Vs))) * (7.3181605 - exp(exp(sigma * -21.370428)))) - log(Vs)) + 63.233982,0.1968267223543513,(7.3181605 - exp(exp(-21.370428*sigma)))*(-Vs**(1/4) - 0.0011088549*Vs) - log(Vs) + 63.233982,PySRFunction(X=>(7.3181605 - exp(exp(-21.370428*sigma)))*(-Vs**(1/4) - 0.0011088549*Vs) - log(Vs) + 63.233982)
22,1.8412358,(((Vs * -0.0012161523) - sqrt(sqrt(Vs * 1.3268528))) * (6.959255 - exp(exp(sigma * -19.56973)))) + (63.254047 - log(Vs)),0.007038803419602973,(6.959255 - exp(exp(-19.56973*sigma)))*(-1.07326183527712*Vs**(1/4) - 0.0012161523*Vs) - log(Vs) + 63.254047,PySRFunction(X=>(6.959255 - exp(exp(-19.56973*sigma)))*(-1.07326183527712*Vs**(1/4) - 0.0012161523*Vs) - log(Vs) + 63.254047)
23,1.8086201,((((Vs * exp(sigma)) * -0.0010995588) - sqrt(sqrt(Vs))) * (7.3021374 - exp(exp(sigma * -20.7256)))) + (63.218967 - log(Vs)),0.017872797781900044,(7.3021374 - exp(exp(-20.7256*sigma)))*(-Vs**(1/4) - 0.0010995588*Vs*exp(sigma)) - log(Vs) + 63.218967,PySRFunction(X=>(7.3021374 - exp(exp(-20.7256*sigma)))*(-Vs**(1/4) - 0.0010995588*Vs*exp(sigma)) - log(Vs) + 63.218967)
24,1.7204422,((6.0332675 - exp(exp(sigma * -17.772465))) * ((Vs * -0.0015499329) - ((sqrt(sqrt(Vs)) - 1.2420456) / 0.7765676))) + (55.92524 - log(Vs)),0.04998282802512404,(6.0332675 - exp(exp(-17.772465*sigma)))*(-1.28771790118465*Vs**(1/4) - 0.0015499329*Vs + 1.59940435320763) - log(Vs) + 55.92524,PySRFunction(X=>(6.0332675 - exp(exp(-17.772465*sigma)))*(-1.28771790118465*Vs**(1/4) - 0.0015499329*Vs + 1.59940435320763) - log(Vs) + 55.92524)
28,1.6710032,(((7.484381 - (exp(exp(sigma * -16.84648)) + (sigma * 2.8899186))) * ((Vs * ((sigma * -0.005151873) + -0.00095885736)) - sqrt(sqrt(Vs)))) - log(Vs)) + 63.074356,0.0072892965433752135,(-Vs**(1/4) + Vs*(-0.005151873*sigma - 0.00095885736))*(-2.8899186*sigma - exp(exp(-16.84648*sigma)) + 7.484381) - log(Vs) + 63.074356,PySRFunction(X=>(-Vs**(1/4) + Vs*(-0.005151873*sigma - 0.00095885736))*(-2.8899186*sigma - exp(exp(-16.84648*sigma)) + 7.484381) - log(Vs) + 63.074356)
