complexity,loss,equation,score,sympy_format,lambda_format
1,695826.44,639.8564,0.0,639.856400000000,PySRFunction(X=>639.856400000000)
3,667819.5,674.31335 - phi,0.020541166989191468,674.31335 - phi,PySRFunction(X=>674.31335 - phi)
4,73143.15,square(51.47473 - phi),2.211599447560192,(51.47473 - phi)**2,PySRFunction(X=>(51.47473 - phi)**2)
6,61637.383,square(phi - 52.075428) - C,0.08557496326453903,-C + (phi - 1*52.075428)**2,PySRFunction(X=>-C + (phi - 1*52.075428)**2)
7,30339.695,square((phi + sqrt(C)) - 58.164547),0.7088116322191561,(sqrt(C) + phi - 58.164547)**2,PySRFunction(X=>(sqrt(C) + phi - 58.164547)**2)
8,20307.824,square((C * -0.14717479) - (phi - 58.61116)),0.40145069062195676,(C*(-0.14717479) - (phi - 1*58.61116))**2,PySRFunction(X=>(C*(-0.14717479) - (phi - 1*58.61116))**2)
10,14121.989,square((phi - 59.9146) - (C * -0.14912105)) + -103.22847,0.18163657217244183,(-(-0.14912105)*C + phi - 1*59.9146)**2 - 103.22847,PySRFunction(X=>(-(-0.14912105)*C + phi - 1*59.9146)**2 - 103.22847)
11,13388.319,square(sqrt(square(phi - 61.86705)) - sqrt(C * xi)),0.053350475794102646,(-sqrt(C*xi) + sqrt((phi - 61.86705)**2))**2,PySRFunction(X=>(-sqrt(C*xi) + sqrt((phi - 61.86705)**2))**2)
12,10141.938,square(7.629098 - sqrt(square((phi - 66.458694) - (C * -0.16182154)))),0.2777035062117739,(7.629098 - sqrt((0.16182154*C + phi - 66.458694)**2))**2,PySRFunction(X=>(7.629098 - sqrt((0.16182154*C + phi - 66.458694)**2))**2)
13,7359.664,square(sqrt(phi) - sqrt(square(phi + (-62.344475 - (C * -0.16808407))))),0.3206648246366979,(sqrt(phi) - sqrt((0.16808407*C + phi - 62.344475)**2))**2,PySRFunction(X=>(sqrt(phi) - sqrt((0.16808407*C + phi - 62.344475)**2))**2)
14,6684.2485,square(sqrt(square(((phi - 62.938263) * 1.1176229) - (C * -0.16800907))) - 9.755211),0.09626049114640407,(sqrt((0.16800907*C + 1.1176229*phi - 70.3412440150227)**2) - 9.755211)**2,PySRFunction(X=>(sqrt((0.16800907*C + 1.1176229*phi - 70.3412440150227)**2) - 9.755211)**2)
16,4774.4165,square(sqrt(square((C * -0.23624268) - ((phi - 76.68084) * 1.605379)) + 7605.204) - 88.562416),0.16824101043273096,(sqrt((-0.23624268*C - 1.605379*phi + 123.10181023836)**2 + 7605.204) - 88.562416)**2,PySRFunction(X=>(sqrt((-0.23624268*C - 1.605379*phi + 123.10181023836)**2 + 7605.204) - 88.562416)**2)
18,3844.7502,square(sqrt((C * 12.77228) + square(((phi - 75.77631) * 1.1894555) - (C * -0.28960457))) - 28.022348),0.10828156707801616,(sqrt(12.77228*C + (0.28960457*C + 1.1894555*phi - 90.132548699205)**2) - 28.022348)**2,PySRFunction(X=>(sqrt(12.77228*C + (0.28960457*C + 1.1894555*phi - 90.132548699205)**2) - 28.022348)**2)
19,3461.3696,square(sqrt((sqrt(phi) * C) + square(((phi - 69.04095) * 1.1977082) - (C * -0.20316862))) - 20.924936),0.10504428446021194,(sqrt(C*sqrt(phi) + (0.20316862*C + 1.1977082*phi - 82.69091195079)**2) - 20.924936)**2,PySRFunction(X=>(sqrt(C*sqrt(phi) + (0.20316862*C + 1.1977082*phi - 82.69091195079)**2) - 20.924936)**2)
20,2265.136,square(sqrt((44.937126 * (C + 143.1825)) + square(((phi - 91.26354) * 1.5448612) - (C * -0.45556214))) - 98.50497),0.4240295476141397,(sqrt(44.937126*C + (0.45556214*C + 1.5448612*phi - 140.989501920648)**2 + 6434.210043495) - 98.50497)**2,PySRFunction(X=>(sqrt(44.937126*C + (0.45556214*C + 1.5448612*phi - 140.989501920648)**2 + 6434.210043495) - 98.50497)**2)
22,2084.9534,square(sqrt(((C + 148.0505) * 49.359177) + square(((phi - 92.83949) * 1.5555177) - (C * -0.47282007))) - 103.90109) + -22.76783,0.04144414820071845,(sqrt(49.359177*C + (0.47282007*C + 1.5555177*phi - 144.413469953973)**2 + 7307.6508344385) - 103.90109)**2 - 22.76783,PySRFunction(X=>(sqrt(49.359177*C + (0.47282007*C + 1.5555177*phi - 144.413469953973)**2 + 7307.6508344385) - 103.90109)**2 - 22.76783)
23,1467.2543,square(sqrt(square((C * -0.24072768) - ((phi - 77.59864) * 1.6569479)) + (sqrt(phi * (C + 37.852192)) * 58.2445)) - 67.003654),0.3513536737764992,(sqrt(58.2445*sqrt(phi*(C + 37.852192)) + (-0.24072768*C - 1.6569479*phi + 128.576903590856)**2) - 67.003654)**2,PySRFunction(X=>(sqrt(58.2445*sqrt(phi*(C + 37.852192)) + (-0.24072768*C - 1.6569479*phi + 128.576903590856)**2) - 67.003654)**2)
25,1207.6388,square(69.145706 - sqrt((sqrt(((115.77996 / xi) + C) * phi) * 60.72744) + square(((phi - 77.41202) * 1.6871587) - (C * -0.24082828)))),0.09736289146294018,(69.145706 - sqrt(60.72744*sqrt(phi*(C + 115.77996/xi)) + (0.24082828*C + 1.6871587*phi - 130.606363027574)**2))**2,PySRFunction(X=>(69.145706 - sqrt(60.72744*sqrt(phi*(C + 115.77996/xi)) + (0.24082828*C + 1.6871587*phi - 130.606363027574)**2))**2)
