complexity,loss,equation,score,sympy_format,lambda_format
1,2019035.5,1563.2645,0.0,1563.26450000000,PySRFunction(X=>1563.26450000000)
3,1966125.5,1598.2107 - phi,0.01327753362600836,1598.2107 - phi,PySRFunction(X=>1598.2107 - phi)
4,165132.86,square(68.649086 - phi),2.477069771855673,(68.649086 - phi)**2,PySRFunction(X=>(68.649086 - phi)**2)
6,148952.56,square(69.19714 - phi) - C,0.05156124801266984,-C + (69.19714 - phi)**2,PySRFunction(X=>-C + (69.19714 - phi)**2)
7,51113.992,square(sqrt(C) - (75.381584 - phi)),1.0695695902112388,(sqrt(C) + phi - 75.381584)**2,PySRFunction(X=>(sqrt(C) + phi - 75.381584)**2)
8,4962.92,square(phi + ((C * 0.17881395) - 77.26406)),2.3320639985831586,(C*0.17881395 + phi - 1*77.26406)**2,PySRFunction(X=>(C*0.17881395 + phi - 1*77.26406)**2)
10,2680.0513,square((C * 0.17705815) - (76.41431 - (phi / 1.0460414))),0.30807917053104317,(C*0.17705815 - (76.41431 - phi/1.0460414))**2,PySRFunction(X=>(C*0.17705815 - (76.41431 - phi/1.0460414))**2)
12,2657.9373,square((C * 0.17641725) - (76.45563 - (phi / 1.0507864))) + -13.552745,0.00414278264128455,(C*0.17641725 - (76.45563 - phi/1.0507864))**2 - 13.552745,PySRFunction(X=>(C*0.17641725 - (76.45563 - phi/1.0507864))**2 - 13.552745)
13,2620.188,square(sqrt(xi) + ((C * 0.17701983) + ((phi / 1.0460346) - 78.05522))),0.014304299924161872,(0.17701983*C + 0.955991321893176*phi + sqrt(xi) - 78.05522)**2,PySRFunction(X=>(0.17701983*C + 0.955991321893176*phi + sqrt(xi) - 78.05522)**2)
14,2458.0757,square((C * 0.18643786) - (77.00404 - (phi / 1.0596536))) + (C + -82.942215),0.06386726285800735,C + (C*0.18643786 - (77.00404 - phi/1.0596536))**2 - 82.942215,PySRFunction(X=>C + (C*0.18643786 - (77.00404 - phi/1.0596536))**2 - 82.942215)
16,2454.4873,C + ((square((76.581566 - (phi / 1.0615941)) - (C * 0.18841964)) - phi) + -15.545826),0.0007304538665890383,C - phi + (-0.18841964*C - phi/1.0615941 + 76.581566)**2 - 15.545826,PySRFunction(X=>C - phi + (-0.18841964*C - phi/1.0615941 + 76.581566)**2 - 15.545826)
17,2417.7476,square(sqrt(C) - ((81.88976 - phi) * 0.9607949)) - ((11.898336 - (phi * 0.17280492)) * C),0.015081537376712485,-C*(11.898336 - 0.17280492*phi) + (sqrt(C) + 0.9607949*phi - 78.679263770224)**2,PySRFunction(X=>-C*(11.898336 - 0.17280492*phi) + (sqrt(C) + 0.9607949*phi - 78.679263770224)**2)
19,2099.7612,(square((sqrt(C) - (84.05406 - phi)) * 0.94402665) - ((12.878386 - (phi * 0.20259294)) * C)) - 120.319145,0.070506369489138,-C*(12.878386 - 0.20259294*phi) + (0.94402665*sqrt(C) + 0.94402665*phi - 79.349272680699)**2 - 120.319145,PySRFunction(X=>-C*(12.878386 - 0.20259294*phi) + (0.94402665*sqrt(C) + 0.94402665*phi - 79.349272680699)**2 - 120.319145)
20,1870.168,square(sqrt(C) - (78.09682 - phi)) - ((12.468031 - (phi * 0.184959)) * (C - (sqrt(phi) / 0.2202734))),0.11579535757434838,-(12.468031 - 0.184959*phi)*(C - 4.53981279627953*sqrt(phi)) + (sqrt(C) + phi - 78.09682)**2,PySRFunction(X=>-(12.468031 - 0.184959*phi)*(C - 4.53981279627953*sqrt(phi)) + (sqrt(C) + phi - 78.09682)**2)
22,1807.441,square(sqrt(C) - (79.04924 - phi)) - ((12.193844 - (phi * 0.18070196)) * (C + ((xi - sqrt(phi)) / 0.22322261))),0.017058116827863797,-(12.193844 - 0.18070196*phi)*(C - 4.47983293448634*sqrt(phi) + 4.47983293448634*xi) + (sqrt(C) + phi - 79.04924)**2,PySRFunction(X=>-(12.193844 - 0.18070196*phi)*(C - 4.47983293448634*sqrt(phi) + 4.47983293448634*xi) + (sqrt(C) + phi - 79.04924)**2)
24,1793.5956,square((78.17569 - phi) - sqrt(C)) - ((12.433667 - (phi * 0.18417364)) * ((C + ((xi - sqrt(phi)) / 0.21693411)) - 11.194539)),0.0038448562908466656,-(12.433667 - 0.18417364*phi)*(C - 4.60969462109947*sqrt(phi) + 4.60969462109947*xi - 11.194539) + (-sqrt(C) - phi + 78.17569)**2,PySRFunction(X=>-(12.433667 - 0.18417364*phi)*(C - 4.60969462109947*sqrt(phi) + 4.60969462109947*xi - 11.194539) + (-sqrt(C) - phi + 78.17569)**2)
25,1779.528,(square((78.73418 - phi) - sqrt(C)) - ((12.360979 - (phi * 0.18458748)) * (square(xi) + (C - (sqrt(phi) / 0.2195068))))) - 6.5210204,0.0078741595646596,-(12.360979 - 0.18458748*phi)*(C - 4.55566752373958*sqrt(phi) + xi**2) + (-sqrt(C) - phi + 78.73418)**2 - 6.5210204,PySRFunction(X=>-(12.360979 - 0.18458748*phi)*(C - 4.55566752373958*sqrt(phi) + xi**2) + (-sqrt(C) - phi + 78.73418)**2 - 6.5210204)
26,1759.1335,square(sqrt(C + 1.1383994) - (78.40591 - phi)) - ((12.649758 - (phi * 0.18802081)) * (((xi - sqrt(phi)) / 0.22237442) + (C - 10.704574))),0.011526802330652399,-(12.649758 - 0.18802081*phi)*(C - 4.49692010438971*sqrt(phi) + 4.49692010438971*xi - 10.704574) + (phi + sqrt(C + 1.1383994) - 78.40591)**2,PySRFunction(X=>-(12.649758 - 0.18802081*phi)*(C - 4.49692010438971*sqrt(phi) + 4.49692010438971*xi - 10.704574) + (phi + sqrt(C + 1.1383994) - 78.40591)**2)
28,1753.0013,square(sqrt(C + 1.1383994) - (78.40591 - phi)) - (((12.649758 - (phi * 0.18802081)) * ((((xi - sqrt(phi)) / 0.22237442) + C) - 10.704574)) + xi),0.0017460053729734678,-xi - (12.649758 - 0.18802081*phi)*(C - 4.49692010438971*sqrt(phi) + 4.49692010438971*xi - 10.704574) + (phi + sqrt(C + 1.1383994) - 78.40591)**2,PySRFunction(X=>-xi - (12.649758 - 0.18802081*phi)*(C - 4.49692010438971*sqrt(phi) + 4.49692010438971*xi - 10.704574) + (phi + sqrt(C + 1.1383994) - 78.40591)**2)
30,1713.5856,square((78.39745 - phi) - sqrt(C + 1.5537277)) - (((((xi - sqrt(phi)) / 0.2283595) + C) + -11.476821) * (12.975197 - (((C / 78.39745) + phi) * 0.19003734))),0.011370665104990454,-(-0.00242402450589911*C - 0.19003734*phi + 12.975197)*(C - 4.37906020988836*sqrt(phi) + 4.37906020988836*xi - 11.476821) + (-phi - sqrt(C + 1.5537277) + 78.39745)**2,PySRFunction(X=>-(-0.00242402450589911*C - 0.19003734*phi + 12.975197)*(C - 4.37906020988836*sqrt(phi) + 4.37906020988836*xi - 11.476821) + (-phi - sqrt(C + 1.5537277) + 78.39745)**2)
32,1696.9452,square((78.39745 - phi) - sqrt(C + (xi + -1.128351))) - (((((xi - sqrt(phi)) / 0.2283595) + C) + -11.476821) * (12.975197 - (((C / 78.39745) + phi) * 0.19003734))),0.0048791619322534905,-(-0.00242402450589911*C - 0.19003734*phi + 12.975197)*(C - 4.37906020988836*sqrt(phi) + 4.37906020988836*xi - 11.476821) + (-phi - sqrt(C + xi - 1.128351) + 78.39745)**2,PySRFunction(X=>-(-0.00242402450589911*C - 0.19003734*phi + 12.975197)*(C - 4.37906020988836*sqrt(phi) + 4.37906020988836*xi - 11.476821) + (-phi - sqrt(C + xi - 1.128351) + 78.39745)**2)
33,1670.2458,square(phi - (79.53879 - sqrt(sqrt(xi) + C))) - (((12.650498 - (phi * 0.19016345)) * ((xi * 10.942875) + (((xi - sqrt(phi)) / 0.22613639) + (C - 28.821835)))) + 15.260404),0.01585889222352312,-(12.650498 - 0.19016345*phi)*(C - 4.42211003722134*sqrt(phi) + 15.3649850372213*xi - 28.821835) + (phi + sqrt(C + sqrt(xi)) - 79.53879)**2 - 15.260404,PySRFunction(X=>-(12.650498 - 0.19016345*phi)*(C - 4.42211003722134*sqrt(phi) + 15.3649850372213*xi - 28.821835) + (phi + sqrt(C + sqrt(xi)) - 79.53879)**2 - 15.260404)
35,1670.2393,square(phi - (79.53879 - sqrt(sqrt(xi) + C))) - ((((12.650498 - (phi * 0.19016345)) * ((xi * 10.942875) + (((xi - sqrt(phi)) / 0.22613639) + (C - 28.821835)))) + 15.260404) - -0.046832133),1.945825173691939e-06,-(12.650498 - 0.19016345*phi)*(C - 4.42211003722134*sqrt(phi) + 15.3649850372213*xi - 28.821835) + (phi + sqrt(C + sqrt(xi)) - 79.53879)**2 - 15.307236133,PySRFunction(X=>-(12.650498 - 0.19016345*phi)*(C - 4.42211003722134*sqrt(phi) + 15.3649850372213*xi - 28.821835) + (phi + sqrt(C + sqrt(xi)) - 79.53879)**2 - 15.307236133)
