complexity,loss,equation,score,sympy_format,lambda_format
1,0.012883876,0.21870361,0.0,0.218703610000000,PySRFunction(X=>0.218703610000000)
3,0.012712397,C * 0.0037942678,0.006699474001034963,C*0.0037942678,PySRFunction(X=>C*0.0037942678)
4,0.009839385,sqrt(C) * 0.03187622,0.25618444996934553,0.03187622*sqrt(C),PySRFunction(X=>0.03187622*sqrt(C))
5,0.007481048,0.38135192 / sqrt(sqrt(rb)),0.2740203199867606,0.38135192/rb**(1/4),PySRFunction(X=>0.38135192/rb**(1/4))
6,0.0070491317,sqrt((0.15134828 / rb) - -0.024662865),0.059468443005785264,sqrt(0.024662865 + 0.15134828/rb),PySRFunction(X=>sqrt(0.024662865 + 0.15134828/rb))
7,0.0046489756,sqrt(sqrt(C / rb)) * 0.15147586,0.4162575518642602,0.15147586*(C/rb)**(1/4),PySRFunction(X=>0.15147586*(C/rb)**(1/4))
8,0.0041221865,sqrt((phi / rb) + 4.496539) * 0.07102025,0.12026316778272172,0.07102025*sqrt(phi/rb + 4.496539),PySRFunction(X=>0.07102025*sqrt(phi/rb + 4.496539))
9,0.0019416205,0.0662363 * sqrt((phi / rb) + sqrt(C)),0.7528607927944809,0.0662363*sqrt(sqrt(C) + phi/rb),PySRFunction(X=>0.0662363*sqrt(sqrt(C) + phi/rb))
10,0.00095437595,0.024176816 * sqrt(C + ((phi / rb) / 0.12918672)),0.7102205412708346,0.024176816*sqrt(C + 7.7407337224755*phi/rb),PySRFunction(X=>0.024176816*sqrt(C + 7.7407337224755*phi/rb))
11,0.0008180657,0.024176816 * sqrt(C + (phi / (rb / sqrt(phi)))),0.15411502016239745,0.024176816*sqrt(C + phi**(3/2)/rb),PySRFunction(X=>0.024176816*sqrt(C + phi**(3/2)/rb))
12,0.0006259369,-0.04958215 + (sqrt(C + ((phi / rb) / 0.1622946)) * 0.030678658),0.267693083928331,0.030678658*sqrt(C + 6.16163445980335*phi/rb) - 0.04958215,PySRFunction(X=>0.030678658*sqrt(C + 6.16163445980335*phi/rb) - 0.04958215)
14,0.00060469285,square(sqrt(sqrt(((phi / rb) / 0.17276376) + C)) * -0.17790039) + -0.058560114,0.017264462066619787,0.0316485487621521*sqrt(C + 5.78825096189155*phi/rb) - 0.058560114,PySRFunction(X=>0.0316485487621521*sqrt(C + 5.78825096189155*phi/rb) - 0.058560114)
16,0.00048547468,square((sqrt(sqrt(C + ((phi / (0.21370487 + rb)) / 0.14895365))) * 0.21370487) + -0.16976061),0.10979675460653603,(0.21370487*(C + 6.71349778941302*phi/(rb + 0.21370487))**(1/4) - 0.16976061)**2,PySRFunction(X=>(0.21370487*(C + 6.71349778941302*phi/(rb + 0.21370487))**(1/4) - 0.16976061)**2)
18,0.0004530199,square(sqrt(sqrt(C + ((phi / ((8.262462 / phi) + rb)) / 0.14137582))) * -0.18149666) + -0.07521295,0.034595540036609064,0.0329410375911556*sqrt(C + 7.07334535707733*phi/(rb + 8.262462/phi)) - 0.07521295,PySRFunction(X=>0.0329410375911556*sqrt(C + 7.07334535707733*phi/(rb + 8.262462/phi)) - 0.07521295)
