complexity,loss,equation,score,sympy_format,lambda_format
1,695826.44,639.83075,0.0,639.830750000000,PySRFunction(X=>639.830750000000)
3,667819.5,674.3154 - phi,0.020541166989191468,674.3154 - phi,PySRFunction(X=>674.3154 - phi)
4,73143.15,square(51.475388 - phi),2.211599447560192,(51.475388 - phi)**2,PySRFunction(X=>(51.475388 - phi)**2)
6,61637.387,square(phi + -52.07476) - C,0.08557493081669913,-C + (phi - 52.07476)**2,PySRFunction(X=>-C + (phi - 52.07476)**2)
7,30339.695,square(58.164547 - (phi + sqrt(C))),0.7088116971148359,(-sqrt(C) - phi + 58.164547)**2,PySRFunction(X=>(-sqrt(C) - phi + 58.164547)**2)
8,20307.826,square((phi - 58.611137) - (C * -0.14718783)),0.4014505921377519,(-(-0.14718783)*C + phi - 1*58.611137)**2,PySRFunction(X=>(-(-0.14718783)*C + phi - 1*58.611137)**2)
10,14121.996,square((C * -0.14913648) - (phi - 59.914013)) + -103.19172,0.18163637357416348,(C*(-0.14913648) - (phi - 1*59.914013))**2 - 103.19172,PySRFunction(X=>(C*(-0.14913648) - (phi - 1*59.914013))**2 - 103.19172)
12,14063.058,square(-59.611237 - ((C * -0.15037051) - (phi * 0.98520267))) - Sb,0.002091111335353587,-Sb + (-(C*(-0.15037051) - 0.98520267*phi) - 59.611237)**2,PySRFunction(X=>-Sb + (-(C*(-0.15037051) - 0.98520267*phi) - 59.611237)**2)
14,12338.1,square((C * -0.15747151) - (phi + (-58.533516 - square(square(phi / 36.7708))))),0.06542966169073583,(C*(-0.15747151) - (-5.4700045223264e-7*phi**4 + phi - 58.533516))**2,PySRFunction(X=>(C*(-0.15747151) - (-5.4700045223264e-7*phi**4 + phi - 58.533516))**2)
15,10468.587,square(((phi + -58.74783) - square(square(square(phi / -47.293076)))) - (C * -0.1601969)),0.16431297704106687,(-(-0.1601969)*C - 3.99594501978872e-14*phi**8 + phi - 58.74783)**2,PySRFunction(X=>(-(-0.1601969)*C - 3.99594501978872e-14*phi**8 + phi - 58.74783)**2)
16,7941.436,square((C * -0.14244351) - ((-52.173775 - square(square(phi * -0.03391591))) + phi)) / 0.7337916,0.2762849434252032,(C*(-0.14244351) - (-1.32316467108738e-6*phi**4 + phi - 52.173775))**2/0.7337916,PySRFunction(X=>(C*(-0.14244351) - (-1.32316467108738e-6*phi**4 + phi - 52.173775))**2/0.7337916)
18,2400.7095,square((-63.927254 - ((phi * 0.0053504664) * (phi + (C + -91.76516)))) + (phi - (C * -0.23206282))),0.5981648983321136,(-(-0.23206282)*C - 0.0053504664*phi*(C + phi - 91.76516) + phi - 63.927254)**2,PySRFunction(X=>(-(-0.23206282)*C - 0.0053504664*phi*(C + phi - 91.76516) + phi - 63.927254)**2)
20,1985.9478,square(((phi - (C * -0.22574872)) + -63.92735) - (((phi + C) + -91.76515) * (phi * 0.005009972))) - 28.834839,0.09483401868790219,(-(-0.22574872)*C - 0.005009972*phi*(C + phi - 91.76515) + phi - 63.92735)**2 - 1*28.834839,PySRFunction(X=>(-(-0.22574872)*C - 0.005009972*phi*(C + phi - 91.76515) + phi - 63.92735)**2 - 1*28.834839)
22,1981.7755,(square((((C + phi) + -91.76873) * (phi * 0.0050075394)) - ((phi - (C * -0.22571032)) + -63.92543)) - 26.01516) - xi,0.0010515606110641483,-xi + ((C + phi - 91.76873)*phi*0.0050075394 - (-(-0.22571032)*C + phi - 63.92543))**2 - 1*26.01516,PySRFunction(X=>-xi + ((C + phi - 91.76873)*phi*0.0050075394 - (-(-0.22571032)*C + phi - 63.92543))**2 - 1*26.01516)
23,1932.5515,square(((-64.216606 - ((phi * 0.005323219) * ((phi + C) + -91.96985))) + phi) - (C * -0.22981232)) - square(xi + xi),0.025152009525304015,-(xi + xi)**2 + (-(-0.22981232)*C - 0.005323219*phi*(C + phi - 91.96985) + phi - 64.216606)**2,PySRFunction(X=>-(xi + xi)**2 + (-(-0.22981232)*C - 0.005323219*phi*(C + phi - 91.96985) + phi - 64.216606)**2)
