complexity,loss,equation,score,sympy_format,lambda_format
1,0.013678816,0.21873304,0.0,0.218733040000000,PySRFunction(X=>0.218733040000000)
3,0.013417204,C * 0.0038033754,0.009655297328611832,C*0.0038033754,PySRFunction(X=>C*0.0038033754)
4,0.010446615,0.5077222 / sqrt(rb),0.25025976159262364,0.5077222/sqrt(rb),PySRFunction(X=>0.5077222/sqrt(rb))
5,0.007834335,0.3816897 / sqrt(sqrt(rb)),0.2877620058438544,0.3816897/rb**(1/4),PySRFunction(X=>0.3816897/rb**(1/4))
6,0.0072680106,(0.3207368 / sqrt(rb)) - -0.10052843,0.07503338766660579,0.10052843 + 0.3207368/sqrt(rb),PySRFunction(X=>0.10052843 + 0.3207368/sqrt(rb))
7,0.004643408,((phi / rb) + C) * 0.0036101323,0.44803402958452604,(C + phi/rb)*0.0036101323,PySRFunction(X=>(C + phi/rb)*0.0036101323)
8,0.0036918411,sqrt(0.101030156 / rb) + (C * 0.002044241),0.22932330268517548,0.002044241*C + 0.317852412292246*sqrt(1/rb),PySRFunction(X=>0.002044241*C + 0.317852412292246*sqrt(1/rb))
9,0.0020366174,sqrt(((phi / rb) + sqrt(C)) / 228.11417),0.5948349823410365,sqrt(0.00438376975880104*sqrt(C) + 0.00438376975880104*phi/rb),PySRFunction(X=>sqrt(0.00438376975880104*sqrt(C) + 0.00438376975880104*phi/rb))
10,0.0009104793,((C * 0.035418514) + sqrt(phi / rb)) * 0.05752662,0.8050744092041477,0.00203750739584268*C + 0.05752662*sqrt(phi/rb),PySRFunction(X=>0.00203750739584268*C + 0.05752662*sqrt(phi/rb))
11,0.0006486059,sqrt((phi / rb) + square(C * -0.04136827)) * 0.06949952,0.3391458738006872,0.06949952*sqrt(0.0017113337627929*C**2 + phi/rb),PySRFunction(X=>0.06949952*sqrt(0.0017113337627929*C**2 + phi/rb))
12,0.0006396056,sqrt(square(C * -0.30403626) + (square(phi) / rb)) * 0.009849385,0.01397355395377619,0.009849385*sqrt(0.0924380473947876*C**2 + phi**2/rb),PySRFunction(X=>0.009849385*sqrt(0.0924380473947876*C**2 + phi**2/rb))
13,0.0005417398,(sqrt(C + (phi / (rb / sqrt(phi)))) * 0.028529406) + -0.0361614,0.16606592402705345,0.028529406*sqrt(C + phi**(3/2)/rb) - 0.0361614,PySRFunction(X=>0.028529406*sqrt(C + phi**(3/2)/rb) - 0.0361614)
15,0.00048270743,(sqrt((phi / ((rb + 0.088384226) / sqrt(phi))) + C) * 0.030744681) + -0.053434413,0.05768753861760958,0.030744681*sqrt(C + phi**(3/2)/(rb + 0.088384226)) - 0.053434413,PySRFunction(X=>0.030744681*sqrt(C + phi**(3/2)/(rb + 0.088384226)) - 0.053434413)
