complexity,loss,equation,score,sympy_format,lambda_format
1,695826.44,639.85223,0.0,639.852230000000,PySRFunction(X=>639.852230000000)
3,667819.5,674.31445 - phi,0.020541166989191468,674.31445 - phi,PySRFunction(X=>674.31445 - phi)
4,73143.15,square(51.474815 - phi),2.211599447560192,(51.474815 - phi)**2,PySRFunction(X=>(51.474815 - phi)**2)
6,61637.383,square(52.075455 - phi) - C,0.08557496326453903,-C + (52.075455 - phi)**2,PySRFunction(X=>-C + (52.075455 - phi)**2)
7,30339.695,square((sqrt(C) + phi) - 58.164547),0.7088116322191561,(sqrt(C) + phi - 58.164547)**2,PySRFunction(X=>(sqrt(C) + phi - 58.164547)**2)
8,20307.824,square((phi + -58.611794) - (C * -0.14718716)),0.40145069062195676,(-(-0.14718716)*C + phi - 58.611794)**2,PySRFunction(X=>(-(-0.14718716)*C + phi - 58.611794)**2)
10,14121.991,square(((C * -0.14910854) - phi) + 59.913757) + -103.1657,0.18163650136089193,(C*(-0.14910854) - phi + 59.913757)**2 - 103.1657,PySRFunction(X=>(C*(-0.14910854) - phi + 59.913757)**2 - 103.1657)
12,6332.417,((C + -185.1408) / ((square(phi) + 251.35632) / -5073.001)) + -205.47896,0.40102561598520975,-205.47896 + (C - 185.1408)/(((phi**2 + 251.35632)/(-5073.001))),PySRFunction(X=>-205.47896 + (C - 185.1408)/(((phi**2 + 251.35632)/(-5073.001))))
14,4307.2715,((C + -268.98007) / ((square(phi) + (C + 221.8022)) / -3294.7925)) - 221.69936,0.1926886774090783,-1*221.69936 + (C - 268.98007)/(((C + phi**2 + 221.8022)/(-3294.7925))),PySRFunction(X=>-1*221.69936 + (C - 268.98007)/(((C + phi**2 + 221.8022)/(-3294.7925))))
16,3174.5308,((phi * 13.57584) + -725.23737) / ((square(phi) + 470.3566) / (-2400.9932 - (C * -14.3434725))),0.1525723995526261,(phi*13.57584 - 725.23737)/(((phi**2 + 470.3566)/(-(-14.3434725)*C - 2400.9932))),PySRFunction(X=>(phi*13.57584 - 725.23737)/(((phi**2 + 470.3566)/(-(-14.3434725)*C - 2400.9932))))
17,2832.321,((phi * square(xi)) + -395.39334) / ((square(phi) + 457.38684) / (-4289.4956 - (C * -25.652704))),0.11406332503086293,(phi*xi**2 - 395.39334)/(((phi**2 + 457.38684)/(-(-25.652704)*C - 4289.4956))),PySRFunction(X=>(phi*xi**2 - 395.39334)/(((phi**2 + 457.38684)/(-(-25.652704)*C - 4289.4956))))
18,2367.4604,((phi * 12.053837) + -645.4569) / (((square(phi) + 799.2041) / (-2468.9106 - (C * -10.823132))) - -0.15839636),0.17927869743230782,(phi*12.053837 - 645.4569)/((phi**2 + 799.2041)/(-(-10.823132)*C - 2468.9106) - 1*(-0.15839636)),PySRFunction(X=>(phi*12.053837 - 645.4569)/((phi**2 + 799.2041)/(-(-10.823132)*C - 2468.9106) - 1*(-0.15839636)))
