complexity,loss,equation,score,sympy_format,lambda_format
1,2016617.0,1589.8544,0.0,1589.85440000000,PySRFunction(X=>1589.85440000000)
3,1964219.6,1624.4065 - phi,0.013163169331595321,1624.4065 - phi,PySRFunction(X=>1624.4065 - phi)
4,171842.42,square(68.670555 - phi),2.4362724012020154,(68.670555 - phi)**2,PySRFunction(X=>(68.670555 - phi)**2)
6,155043.84,square(69.2149 - phi) - C,0.05143498922576229,-C + (69.2149 - phi)**2,PySRFunction(X=>-C + (69.2149 - phi)**2)
7,53494.094,square(sqrt(C) - (75.39338 - phi)),1.0641366603527036,(sqrt(C) + phi - 75.39338)**2,PySRFunction(X=>(sqrt(C) + phi - 75.39338)**2)
8,5360.4106,square(phi + ((C * 0.17876945) - 77.26976)),2.3005306786585438,(C*0.17876945 + phi - 1*77.26976)**2,PySRFunction(X=>(C*0.17876945 + phi - 1*77.26976)**2)
10,3007.6106,square((phi + ((C * 0.18512854) + -79.95111)) * 0.955745),0.28894731685299213,0.913448505025*(C*0.18512854 + phi - 79.95111)**2,PySRFunction(X=>0.913448505025*(C*0.18512854 + phi - 79.95111)**2)
12,2879.425,square((xi + ((phi * 0.9557106) + -79.11804)) + (C * 0.17702943)),0.021777660741778646,(C*0.17702943 + phi*0.9557106 + xi - 79.11804)**2,PySRFunction(X=>(C*0.17702943 + phi*0.9557106 + xi - 79.11804)**2)
13,2584.465,square((75.781296 - phi) - ((C * 0.17716765) - (sqrt(phi) / xi))),0.10807209814578057,(-0.17716765*C + sqrt(phi)/xi - phi + 75.781296)**2,PySRFunction(X=>(-0.17716765*C + sqrt(phi)/xi - phi + 75.781296)**2)
15,2583.748,square((75.7926 - phi) - ((C * 0.17709161) - (sqrt(phi) / xi))) - 1.4265063,0.00013873267309221375,(-0.17709161*C + sqrt(phi)/xi - phi + 75.7926)**2 - 1.4265063,PySRFunction(X=>(-0.17709161*C + sqrt(phi)/xi - phi + 75.7926)**2 - 1.4265063)
