complexity,loss,equation,score,sympy_format,lambda_format
1,695826.44,639.8713,0.0,639.871300000000,PySRFunction(X=>639.871300000000)
3,667819.5,674.3154 - phi,0.020541166989191468,674.3154 - phi,PySRFunction(X=>674.3154 - phi)
4,73143.15,square(phi + -51.474773),2.211599447560192,(phi - 51.474773)**2,PySRFunction(X=>(phi - 51.474773)**2)
6,61637.383,square(52.075413 - phi) - C,0.08557496326453903,-C + (52.075413 - phi)**2,PySRFunction(X=>-C + (52.075413 - phi)**2)
7,30339.695,square(sqrt(C) - (58.165276 - phi)),0.7088116322191561,(sqrt(C) + phi - 58.165276)**2,PySRFunction(X=>(sqrt(C) + phi - 58.165276)**2)
8,20307.824,square(((C * -0.14718546) - phi) + 58.61121),0.40145069062195676,(C*(-0.14718546) - phi + 58.61121)**2,PySRFunction(X=>(C*(-0.14718546) - phi + 58.61121)**2)
10,14121.99,square(((C * -0.14911042) - phi) + 59.91349) - 103.193306,0.1816365367666656,(C*(-0.14911042) - phi + 59.91349)**2 - 1*103.193306,PySRFunction(X=>(C*(-0.14911042) - phi + 59.91349)**2 - 1*103.193306)
11,5303.692,square(square(((83.83259 - phi) * 0.095100135) + (C * -0.013628991))),0.9793299751630358,(C*(-0.013628991) + (83.83259 - phi)*0.095100135)**4,PySRFunction(X=>(C*(-0.013628991) + (83.83259 - phi)*0.095100135)**4)
13,4864.562,square(square((-0.0131142065 * C) + ((88.96216 - phi) * 0.09127735)) - xi),0.043213250531698985,(-xi + (-0.0131142065*C + (88.96216 - phi)*0.09127735)**2)**2,PySRFunction(X=>(-xi + (-0.0131142065*C + (88.96216 - phi)*0.09127735)**2)**2)
15,4132.917,square(square((C * -0.014571918) + ((87.19725 - phi) * 0.09198697))) + (C - 83.76166),0.08149661384461379,C + (C*(-0.014571918) + (87.19725 - phi)*0.09198697)**4 - 1*83.76166,PySRFunction(X=>C + (C*(-0.014571918) + (87.19725 - phi)*0.09198697)**4 - 1*83.76166)
