complexity,loss,equation,score,sympy_format,lambda_format
1,0.013678816,0.21873303,0.0,0.218733030000000,PySRFunction(X=>0.218733030000000)
3,0.013417204,C * 0.0038033754,0.009655297328611832,C*0.0038033754,PySRFunction(X=>C*0.0038033754)
4,0.010446615,0.50772 / sqrt(rb),0.25025976159262364,0.50772/sqrt(rb),PySRFunction(X=>0.50772/sqrt(rb))
5,0.007834336,0.38168162 / sqrt(sqrt(rb)),0.28776187820061,0.38168162/rb**(1/4),PySRFunction(X=>0.38168162/rb**(1/4))
6,0.00726801,(0.32074612 / sqrt(rb)) + 0.10052519,0.07503359786339318,0.10052519 + 0.32074612/sqrt(rb),PySRFunction(X=>0.10052519 + 0.32074612/sqrt(rb))
7,0.0046434086,((phi / rb) + C) * 0.0036101274,0.44803381781555307,(C + phi/rb)*0.0036101274,PySRFunction(X=>(C + phi/rb)*0.0036101274)
8,0.0036918411,(0.317818 / sqrt(rb)) + (C * 0.002044482),0.22932343190060547,0.002044482*C + 0.317818/sqrt(rb),PySRFunction(X=>0.002044482*C + 0.317818/sqrt(rb))
9,0.0020366174,sqrt((phi / rb) + sqrt(C)) * 0.066210635,0.5948349823410365,0.066210635*sqrt(sqrt(C) + phi/rb),PySRFunction(X=>0.066210635*sqrt(sqrt(C) + phi/rb))
10,0.0009104793,((C * 0.035417765) + sqrt(phi / rb)) * 0.057526875,0.8050744092041477,0.00203747333993437*C + 0.057526875*sqrt(phi/rb),PySRFunction(X=>0.00203747333993437*C + 0.057526875*sqrt(phi/rb))
11,0.00076167716,sqrt(C + (sqrt(phi) * (phi / rb))) * 0.025162725,0.17844837277755599,0.025162725*sqrt(C + phi**(3/2)/rb),PySRFunction(X=>0.025162725*sqrt(C + phi**(3/2)/rb))
12,0.00066283834,(sqrt(((phi * 5.660796) / rb) + C) * 0.03181882) + -0.05894193,0.13899166198720378,0.03181882*sqrt(C + 5.660796*phi/rb) - 0.05894193,PySRFunction(X=>0.03181882*sqrt(C + 5.660796*phi/rb) - 0.05894193)
