complexity,loss,equation,score,sympy_format,lambda_format
1,0.013678816,0.21873304,0.0,0.218733040000000,PySRFunction(X=>0.218733040000000)
3,0.013417204,C * 0.0038033754,0.009655297328611832,C*0.0038033754,PySRFunction(X=>C*0.0038033754)
4,0.010446615,sqrt(0.25780505 / rb),0.25025976159262364,0.507745063983886*sqrt(1/rb),PySRFunction(X=>0.507745063983886*sqrt(1/rb))
5,0.007834336,0.38168097 / sqrt(sqrt(rb)),0.28776187820061,0.38168097/rb**(1/4),PySRFunction(X=>0.38168097/rb**(1/4))
6,0.0072680106,(0.3207765 / sqrt(rb)) + 0.10051439,0.07503351530985015,0.10051439 + 0.3207765/sqrt(rb),PySRFunction(X=>0.10051439 + 0.3207765/sqrt(rb))
7,0.0046434086,((phi / rb) + C) * 0.0036101274,0.44803390036909607,(C + phi/rb)*0.0036101274,PySRFunction(X=>(C + phi/rb)*0.0036101274)
8,0.0036918411,(C * 0.0020445106) + (0.31781313 / sqrt(rb)),0.22932343190060547,0.0020445106*C + 0.31781313/sqrt(rb),PySRFunction(X=>0.0020445106*C + 0.31781313/sqrt(rb))
9,0.0026390047,sqrt((C + phi) / sqrt(rb)) * 0.043476444,0.3357234382139068,0.043476444*sqrt((C + phi)/sqrt(rb)),PySRFunction(X=>0.043476444*sqrt((C + phi)/sqrt(rb)))
10,0.00091047934,(sqrt(phi / rb) * 0.05752662) + (C * 0.0020375072),1.064185909398374,0.0020375072*C + 0.05752662*sqrt(phi/rb),PySRFunction(X=>0.0020375072*C + 0.05752662*sqrt(phi/rb))
12,0.0006531699,(phi * (0.012326002 / (rb + 0.56189084))) - (sqrt(C) * -0.023825057),0.16606696443963717,0.023825057*sqrt(C) + 0.012326002*phi/(rb + 0.56189084),PySRFunction(X=>0.023825057*sqrt(C) + 0.012326002*phi/(rb + 0.56189084))
13,0.0005010214,((phi * (0.01264826 / (rb + 0.5849197))) - (C * -0.0020756826)) + 0.05306251,0.26518846445825117,-(-0.0020756826)*C + phi*0.01264826/(rb + 0.5849197) + 0.05306251,PySRFunction(X=>-(-0.0020756826)*C + phi*0.01264826/(rb + 0.5849197) + 0.05306251)
15,0.00036300713,(0.016505744 - (sqrt(phi) * 0.0010368829)) * ((phi / sqrt(rb)) + (0.18317868 * C)),0.16111316939912587,(0.016505744 - 0.0010368829*sqrt(phi))*(0.18317868*C + phi/sqrt(rb)),PySRFunction(X=>(0.016505744 - 0.0010368829*sqrt(phi))*(0.18317868*C + phi/sqrt(rb)))
