complexity,loss,equation,score,sympy_format,lambda_format
1,2016617.0,1589.6923,0.0,1589.69230000000,PySRFunction(X=>1589.69230000000)
3,1964219.6,1624.3549 - phi,0.013163169331595321,1624.3549 - phi,PySRFunction(X=>1624.3549 - phi)
4,171842.42,square(phi + -68.67054),2.4362724012020154,(phi - 68.67054)**2,PySRFunction(X=>(phi - 68.67054)**2)
6,155043.84,square(phi + -69.21483) - C,0.05143498922576229,-C + (phi - 69.21483)**2,PySRFunction(X=>-C + (phi - 69.21483)**2)
7,53494.094,square(sqrt(C) + (phi + -75.39338)),1.0641366603527036,(sqrt(C) + phi - 75.39338)**2,PySRFunction(X=>(sqrt(C) + phi - 75.39338)**2)
8,5360.4106,square((phi + -77.2701) - (C * -0.17877245)),2.3005306786585438,(-(-0.17877245)*C + phi - 77.2701)**2,PySRFunction(X=>(-(-0.17877245)*C + phi - 77.2701)**2)
10,3007.603,square(((phi + -79.95675) - (C / -5.401698)) / 1.0464154),0.28894858031602194,0.913254361538055*(-C/(-5.401698) + phi - 79.95675)**2,PySRFunction(X=>0.913254361538055*(-C/(-5.401698) + phi - 79.95675)**2)
12,2879.4265,square(((C / -5.6492357) - ((phi + -82.78262) / 1.0463318)) - xi),0.021776136810146795,(C/(-5.6492357) - xi - (phi - 82.78262)/1.0463318)**2,PySRFunction(X=>(C/(-5.6492357) - xi - (phi - 82.78262)/1.0463318)**2)
13,2584.461,square((C / -5.645481) - ((phi + -75.78014) - (sqrt(phi) / xi))),0.10807416679328284,(-0.177132825351817*C + sqrt(phi)/xi - phi + 75.78014)**2,PySRFunction(X=>(-0.177132825351817*C + sqrt(phi)/xi - phi + 75.78014)**2)
15,2499.6895,square(((xi / exp(phi / 22.3343)) + (-78.635704 + phi)) - (C / -5.6457696)),0.01667522571001637,(-C/(-5.6457696) + phi + xi/exp(phi/22.3343) - 78.635704)**2,PySRFunction(X=>(-C/(-5.6457696) + phi + xi/exp(phi/22.3343) - 78.635704)**2)
16,2262.5322,square((((phi - (C / -7.554176)) / 1.0469168) + (-578.6674 / (C + 66.436424))) + -68.56835),0.09968189562582785,((-C/(-7.554176) + phi)/1.0469168 - 68.56835 - 578.6674/(C + 66.436424))**2,PySRFunction(X=>((-C/(-7.554176) + phi)/1.0469168 - 68.56835 - 578.6674/(C + 66.436424))**2)
18,2135.763,square(((-71.23995 + ((phi - (C / -7.5778003)) / 1.04682)) + (-576.657 / (65.85629 + C))) + xi),0.02883033432453375,(xi + (-C/(-7.5778003) + phi)/1.04682 - 71.23995 - 576.657/(C + 65.85629))**2,PySRFunction(X=>(xi + (-C/(-7.5778003) + phi)/1.04682 - 71.23995 - 576.657/(C + 65.85629))**2)
19,2109.008,square((C / -5.936671) - (phi + (-75.10232 - ((sqrt(phi) / xi) - (-6.806749 / (xi + C)))))),0.012606265129406801,(-0.168444571039898*C + sqrt(phi)/xi - phi + 75.10232 + 6.806749/(C + xi))**2,PySRFunction(X=>(-0.168444571039898*C + sqrt(phi)/xi - phi + 75.10232 + 6.806749/(C + xi))**2)
20,1966.5942,square(((C / -6.150435) - ((phi + -74.52617) - (sqrt(phi) / xi))) - (-19.727657 / (C + square(xi)))),0.06991448064934153,(-0.162590125739074*C + sqrt(phi)/xi - phi + 74.52617 + 19.727657/(C + xi**2))**2,PySRFunction(X=>(-0.162590125739074*C + sqrt(phi)/xi - phi + 74.52617 + 19.727657/(C + xi**2))**2)
21,1745.9523,square(phi + ((((xi / exp(phi / 21.81966)) + -71.35567) + (-495.5129 / (C + 60.55936))) - (C / -7.7876368))),0.11900307665045792,(-C/(-7.7876368) + phi + xi/exp(phi/21.81966) - 71.35567 - 495.5129/(C + 60.55936))**2,PySRFunction(X=>(-C/(-7.7876368) + phi + xi/exp(phi/21.81966) - 71.35567 - 495.5129/(C + 60.55936))**2)
22,1697.1859,square((((-343.8498 / (C + 50.122852)) + (2.43525 / exp(phi / exp(xi)))) + (phi + -72.32456)) - (C / -7.441652)),0.028328610946156203,(-C/(-7.441652) + phi - 72.32456 + 2.43525/exp(phi/exp(xi)) - 343.8498/(C + 50.122852))**2,PySRFunction(X=>(-C/(-7.441652) + phi - 72.32456 + 2.43525/exp(phi/exp(xi)) - 343.8498/(C + 50.122852))**2)
24,1667.6776,square(phi + (((-72.70603 - (C / -7.436931)) + (xi / exp(phi / exp(xi - -0.3416986)))) + (-342.75967 / (C + 50.180786)))),0.008769763313805535,(-C/(-7.436931) + phi + xi/exp(phi/exp(xi - 1*(-0.3416986))) - 72.70603 - 342.75967/(C + 50.180786))**2,PySRFunction(X=>(-C/(-7.436931) + phi + xi/exp(phi/exp(xi - 1*(-0.3416986))) - 72.70603 - 342.75967/(C + 50.180786))**2)
25,1593.3666,square((C / -6.7320037) - (phi + (((sqrt(sqrt(exp(phi / 7.4962544))) + xi) + (-476.22318 / (C + 55.643158))) + -82.25288))) * 0.7815631,0.04558286360444091,0.7815631*(-0.148544184549394*C - phi - xi - exp(0.133399955049551*phi)**(1/4) + 82.25288 + 476.22318/(C + 55.643158))**2,PySRFunction(X=>0.7815631*(-0.148544184549394*C - phi - xi - exp(0.133399955049551*phi)**(1/4) + 82.25288 + 476.22318/(C + 55.643158))**2)
27,1565.841,(square((((phi + (-82.10236 - (C / -6.72765))) + xi) + sqrt(sqrt(exp(phi / 7.2893057)))) + (-477.14603 / (C + 55.223263))) * 0.7815197) - -13.880863,0.00871303821580255,0.7815197*(0.148640312739218*C + phi + xi + exp(0.137187276972072*phi)**(1/4) - 82.10236 - 477.14603/(C + 55.223263))**2 + 13.880863,PySRFunction(X=>0.7815197*(0.148640312739218*C + phi + xi + exp(0.137187276972072*phi)**(1/4) - 82.10236 - 477.14603/(C + 55.223263))**2 + 13.880863)
30,1564.5482,log(phi) + (10.1081915 + (square(xi + (phi + (((-81.907295 - (C / -6.755487)) + sqrt(sqrt(exp(phi / 7.381397)))) + (-477.74893 / (C + 55.300995))))) * 0.7857212)),0.00027532254317302424,0.7857212*(0.148027817979666*C + phi + xi + exp(0.135475710085774*phi)**(1/4) - 81.907295 - 477.74893/(C + 55.300995))**2 + log(phi) + 10.1081915,PySRFunction(X=>0.7857212*(0.148027817979666*C + phi + xi + exp(0.135475710085774*phi)**(1/4) - 81.907295 - 477.74893/(C + 55.300995))**2 + log(phi) + 10.1081915)
