complexity,loss,equation,score,sympy_format,lambda_format
1,0.013678816,0.21873294,0.0,0.218732940000000,PySRFunction(X=>0.218732940000000)
3,0.013417204,C * 0.0038033754,0.009655297328611832,C*0.0038033754,PySRFunction(X=>C*0.0038033754)
4,0.010446615,sqrt(0.25778186 / rb),0.25025976159262364,0.507722227206964*sqrt(1/rb),PySRFunction(X=>0.507722227206964*sqrt(1/rb))
5,0.007834336,0.38168374 / sqrt(sqrt(rb)),0.28776187820061,0.38168374/rb**(1/4),PySRFunction(X=>0.38168374/rb**(1/4))
6,0.0073162904,sqrt((0.15108682 / rb) + 0.024373928),0.06841270072810177,sqrt(0.024373928 + 0.15108682/rb),PySRFunction(X=>sqrt(0.024373928 + 0.15108682/rb))
7,0.005146369,((phi * 0.0053484235) / rb) + 0.18176037,0.3518120060942568,phi*0.0053484235/rb + 0.18176037,PySRFunction(X=>phi*0.0053484235/rb + 0.18176037)
8,0.004276216,sqrt((phi * (0.0049949586 / rb)) + 0.022741077),0.18522291108182737,sqrt(0.0049949586*phi/rb + 0.022741077),PySRFunction(X=>sqrt(0.0049949586*phi/rb + 0.022741077))
10,0.004252392,sqrt(((phi + -2.037562) * (0.00499799 / rb)) + 0.022693219),0.0027934291232693297,sqrt(0.022693219 + 0.00499799*(phi - 2.037562)/rb),PySRFunction(X=>sqrt(0.022693219 + 0.00499799*(phi - 2.037562)/rb))
11,0.003652554,sqrt(sqrt(phi / (rb / (C * 0.14513668))) / Sb),0.1520549992122981,0.617226119548259*sqrt(sqrt(C*phi/rb)/Sb),PySRFunction(X=>0.617226119548259*sqrt(sqrt(C*phi/rb)/Sb))
13,0.0008178663,(phi * 0.025208557) * sqrt((C / square(phi)) + (0.1425524 / rb)),0.7482415260494101,0.025208557*phi*sqrt(C/phi**2 + 0.1425524/rb),PySRFunction(X=>0.025208557*phi*sqrt(C/phi**2 + 0.1425524/rb))
15,0.00063501217,((phi * 0.030700203) * sqrt((0.11276071 / rb) + (C / square(phi)))) + -0.041986115,0.12652735587381378,0.030700203*phi*sqrt(C/phi**2 + 0.11276071/rb) - 0.041986115,PySRFunction(X=>0.030700203*phi*sqrt(C/phi**2 + 0.11276071/rb) - 0.041986115)
16,0.0005818067,phi * ((sqrt((0.14345439 / rb) + ((C / phi) / phi)) + -0.02813057) * 0.027963717),0.08750590208370197,phi*(0.027963717*sqrt(C/phi**2 + 0.14345439/rb) - 0.00078663529852869),PySRFunction(X=>phi*(0.027963717*sqrt(C/phi**2 + 0.14345439/rb) - 0.00078663529852869))
18,0.00058121944,((sqrt((((C + -0.026192252) / phi) / phi) + (0.14347355 / rb)) + -0.028107576) * 0.02796416) * phi,0.0005049414021858329,phi*(0.02796416*sqrt(0.14347355/rb + (C - 0.026192252)/phi**2) - 0.00078600475247616),PySRFunction(X=>phi*(0.02796416*sqrt(0.14347355/rb + (C - 0.026192252)/phi**2) - 0.00078600475247616))
19,0.0005495726,phi * (sqrt((((C + square(C / 7.050835)) / phi) / phi) + (0.3506485 / rb)) * 0.016316492),0.05598749394952232,0.016316492*phi*sqrt(0.3506485/rb + (0.0201149471886652*C**2 + C)/phi**2),PySRFunction(X=>0.016316492*phi*sqrt(0.3506485/rb + (0.0201149471886652*C**2 + C)/phi**2))
21,0.0005417398,(0.02852916 * (phi * sqrt(((C / phi) / phi) + (((C / C) / sqrt(phi)) / rb)))) + -0.03615729,0.0071775364295931995,0.02852916*phi*sqrt(C/phi**2 + 1/(sqrt(phi)*rb)) - 0.03615729,PySRFunction(X=>0.02852916*phi*sqrt(C/phi**2 + 1/(sqrt(phi)*rb)) - 0.03615729)
22,0.00047176727,0.026600158 * (phi * (sqrt((0.14903602 / rb) + (((C + (C / (0.59707123 + rb))) / phi) / phi)) + -0.025364224)),0.13830002041491848,0.026600158*phi*(sqrt(0.14903602/rb + (C + C/(rb + 0.59707123))/phi**2) - 0.025364224),PySRFunction(X=>0.026600158*phi*(sqrt(0.14903602/rb + (C + C/(rb + 0.59707123))/phi**2) - 0.025364224))
