complexity,loss,equation,score,sympy_format,lambda_format
1,2016617.0,1589.8544,0.0,1589.85440000000,PySRFunction(X=>1589.85440000000)
3,1964219.6,1624.359 - phi,0.013163169331595321,1624.359 - phi,PySRFunction(X=>1624.359 - phi)
4,171842.42,square(68.670555 - phi),2.4362724012020154,(68.670555 - phi)**2,PySRFunction(X=>(68.670555 - phi)**2)
6,156913.12,square(68.670555 - phi) - C,0.04544280885294336,-C + (68.670555 - phi)**2,PySRFunction(X=>-C + (68.670555 - phi)**2)
7,53494.094,square(sqrt(C) + (phi - 75.39338)),1.0761210210983412,(sqrt(C) + phi - 75.39338)**2,PySRFunction(X=>(sqrt(C) + phi - 75.39338)**2)
9,30452.193,square(((35693.297 - square(C)) / 471.70862) - phi),0.28170662200892405,(-phi + (35693.297 - C**2)/471.70862)**2,PySRFunction(X=>(-phi + (35693.297 - C**2)/471.70862)**2)
10,4497.615,square((C * 0.1803437) + (phi - 76.722145)) - -56.73871,1.9126107549904166,(C*0.1803437 + phi - 1*76.722145)**2 - 1*(-56.73871),PySRFunction(X=>(C*0.1803437 + phi - 1*76.722145)**2 - 1*(-56.73871))
12,3015.8848,square(((((C * 25.57828) - 11055.072) / 138.2069) + phi) * 0.9556991),0.19982700157344394,0.91336076974081*(phi + (C*25.57828 - 1*11055.072)/138.2069)**2,PySRFunction(X=>0.91336076974081*(phi + (C*25.57828 - 1*11055.072)/138.2069)**2)
14,2982.9355,square((((C * 25.491034) - 11061.201) / 144.69359) + (phi * 0.9510998)) + -13.970317,0.005492685179278078,(phi*0.9510998 + (C*25.491034 - 1*11061.201)/144.69359)**2 - 13.970317,PySRFunction(X=>(phi*0.9510998 + (C*25.491034 - 1*11061.201)/144.69359)**2 - 13.970317)
15,2498.8926,square(phi - ((11039.098 - (sqrt(C) * (C + 177.22711))) / 133.78476)) * 0.9137461,0.1770602090327915,0.9137461*(0.00747469293213965*sqrt(C)*(C + 177.22711) + phi - 82.513867797797)**2,PySRFunction(X=>0.9137461*(0.00747469293213965*sqrt(C)*(C + 177.22711) + phi - 82.513867797797)**2)
17,2467.9666,(square(phi - ((11039.782 - ((C + 176.35947) * sqrt(C))) / 133.08588)) * 0.9050123) - 14.403021,0.006226550506055082,0.9050123*(0.00751394513076819*sqrt(C)*(C + 176.35947) + phi - 82.9523162036423)**2 - 14.403021,PySRFunction(X=>0.9050123*(0.00751394513076819*sqrt(C)*(C + 176.35947) + phi - 82.9523162036423)**2 - 14.403021)
19,2311.773,square(4.4677606 - ((phi + (((sqrt(C) * 93.13289) - (11037.831 - (C * 18.821968))) / 143.48846)) * 0.95545316)),0.03268990506372994,(-0.62014822690572*sqrt(C) - 0.125330697695263*C - 0.95545316*phi + 77.9658698451335)**2,PySRFunction(X=>(-0.62014822690572*sqrt(C) - 0.125330697695263*C - 0.95545316*phi + 77.9658698451335)**2)
21,2308.1577,square(4.4677606 - (((((93.13289 * sqrt(C)) - (11037.831 - (C * 18.821968))) / 143.48846) + phi) * 0.95545316)) - xi,0.0007825443654325265,-xi + (-0.62014822690572*sqrt(C) - 0.125330697695263*C - 0.95545316*phi + 77.9658698451335)**2,PySRFunction(X=>-xi + (-0.62014822690572*sqrt(C) - 0.125330697695263*C - 0.95545316*phi + 77.9658698451335)**2)
22,2240.0996,square((((149.89465 / sqrt(sqrt(exp(phi)))) - (11111.582 - (sqrt(C) * (C + 178.04288)))) / 135.6372) + phi) * 0.93674093,0.029929344703802124,0.93674093*(0.00737260869436998*sqrt(C)*(C + 178.04288) + phi - 81.921346061405 + 1.10511459982955/exp(phi)**(1/4))**2,PySRFunction(X=>0.93674093*(0.00737260869436998*sqrt(C)*(C + 178.04288) + phi - 81.921346061405 + 1.10511459982955/exp(phi)**(1/4))**2)
23,2165.418,square(phi + (sqrt(sqrt(sqrt(3.4973462 / exp(phi)))) - ((11039.887 - ((C + 175.71228) * sqrt(C))) / 135.2298))) * 0.9467608,0.033906914752090414,0.9467608*(0.00739481978084712*sqrt(C)*(C + 175.71228) + phi + 1.16941141314357*exp(-phi)**(1/8) - 81.637974765917)**2,PySRFunction(X=>0.9467608*(0.00739481978084712*sqrt(C)*(C + 175.71228) + phi + 1.16941141314357*exp(-phi)**(1/8) - 81.637974765917)**2)
24,2165.3748,square(phi + ((((C + Sb) / sqrt(sqrt(exp(phi)))) - (11039.136 - (sqrt(C) * (C + 176.52296)))) / 134.61752)) * 0.9330339,1.9950157856314e-05,0.9330339*(0.0074284535920733*sqrt(C)*(C + 176.52296) + phi + 0.0074284535920733*(C + Sb)/exp(phi)**(1/4) - 82.0037094725857)**2,PySRFunction(X=>0.9330339*(0.0074284535920733*sqrt(C)*(C + 176.52296) + phi + 0.0074284535920733*(C + Sb)/exp(phi)**(1/4) - 82.0037094725857)**2)
25,2129.8308,square(((11039.983 - (sqrt(C) * (C + 175.24997))) / 135.26714) - (phi + sqrt(sqrt(exp(0.77241606) / exp(phi / 2.4432406))))) * 0.95193243,0.016550924307848776,0.95193243*(-0.00739277846785258*sqrt(C)*(C + 175.24997) - phi - 1.21300895808428*exp(-0.409292478194739*phi)**(1/4) + 81.6161486078585)**2,PySRFunction(X=>0.95193243*(-0.00739277846785258*sqrt(C)*(C + 175.24997) - phi - 1.21300895808428*exp(-0.409292478194739*phi)**(1/4) + 81.6161486078585)**2)
