complexity,loss,equation,score,sympy_format,lambda_format
1,0.008876282,0.061522927,0.0,0.0615229270000000,PySRFunction(X=>0.0615229270000000)
3,0.004862157,0.19157974 / rb,0.300950304511476,0.19157974/rb,PySRFunction(X=>0.19157974/rb)
5,0.0017681943,(phi / rb) / 178.23555,0.5057616551218106,phi/(178.23555*rb),PySRFunction(X=>phi/(178.23555*rb))
7,0.0011682968,((phi * 0.0050834604) / rb) + 0.02638193,0.20720594732621508,phi*0.0050834604/rb + 0.02638193,PySRFunction(X=>phi*0.0050834604/rb + 0.02638193)
8,0.0007873661,(sqrt(C) + (phi / rb)) / 202.81026,0.39460891620011995,0.00493071701599317*sqrt(C) + 0.00493071701599317*phi/rb,PySRFunction(X=>0.00493071701599317*sqrt(C) + 0.00493071701599317*phi/rb)
9,0.00061767135,(C * 0.00062049704) + ((phi / rb) / 199.91231),0.24273680460924107,C*0.00062049704 + phi/(199.91231*rb),PySRFunction(X=>C*0.00062049704 + phi/(199.91231*rb))
11,0.00046985954,((C * 0.101332754) + ((phi + -11.097925) / rb)) / 150.98947,0.13676136045604145,(C*0.101332754 + (phi - 11.097925)/rb)/150.98947,PySRFunction(X=>(C*0.101332754 + (phi - 11.097925)/rb)/150.98947)
13,0.00044522822,((((phi - 6.3117104) / rb) + (C * 0.13468224)) - xi) / 166.0703,0.0269233971706019,(C*0.13468224 - xi + (phi - 1*6.3117104)/rb)/166.0703,PySRFunction(X=>(C*0.13468224 - xi + (phi - 1*6.3117104)/rb)/166.0703)
14,0.0004441388,((((phi - 6.3117104) / rb) + (C * 0.13468224)) - sqrt(xi)) / 166.0703,0.0024498784424968286,0.000810995343538249*C - 0.00602154629695978*sqrt(xi) + 0.00602154629695978*(phi - 6.3117104)/rb,PySRFunction(X=>0.000810995343538249*C - 0.00602154629695978*sqrt(xi) + 0.00602154629695978*(phi - 6.3117104)/rb)
15,0.00042006065,((C * 0.15208887) + ((((phi - xi) - 4.985576) / rb) - 3.0641816)) / 164.17722,0.055738020577741035,(C*0.15208887 - 1*3.0641816 + (phi - xi - 1*4.985576)/rb)/164.17722,PySRFunction(X=>(C*0.15208887 - 1*3.0641816 + (phi - xi - 1*4.985576)/rb)/164.17722)
16,0.00039610238,(((C * 0.14951082) - log(rb)) + ((phi - (xi * 3.5375175)) / rb)) / 166.0959,0.05872639242044426,0.000900147565352305*C - 0.00602061820911895*log(rb) + 0.00602061820911895*(phi - 3.5375175*xi)/rb,PySRFunction(X=>0.000900147565352305*C - 0.00602061820911895*log(rb) + 0.00602061820911895*(phi - 3.5375175*xi)/rb)
21,0.00039524483,(((phi - (xi / 0.29429176)) / rb) + ((C * 0.12879622) - log(sqrt(sqrt(square(phi * -0.8929274)))))) / 159.5306,0.00043346350367661683,0.000807344923168345*C - 0.00626838988883637*log(0.944948358377324*(phi**2)**(1/4)) + 0.00626838988883637*(phi - 3.39798844520825*xi)/rb,PySRFunction(X=>0.000807344923168345*C - 0.00626838988883637*log(0.944948358377324*(phi**2)**(1/4)) + 0.00626838988883637*(phi - 3.39798844520825*xi)/rb)
